Symbol,Token
ABB,13
ADANIENSOL,10217
ADANIENT,25
ADANIGREEN,3563
ADANIPORTS,15083
ADANIPOWER,17388
AMBUJACEM,1270
APOLLOHOSP,157
ASIANPAINT,236
DMART,19913
AXISBANK,5900
BAJAJ-AUTO,16669
BAJFINANCE,317
BAJAJFINSV,16675
BAJAJHLDNG,305
BANKBARODA,4668
BEL,383
BPCL,526
BHARTIARTL,10604
BOSCHLTD,2181
BRITANNIA,547
CGPOWER,760
CANBK,10794
CHOLAFIN,685
CIPLA,694
COALINDIA,20374
CUMMINSIND,1901
DLF,14732
DIVISLAB,10940
DRREDDY,881
EICHERMOT,910
ETERNAL,5097
GAIL,4717
GODREJCP,10099
GRASIM,1232
HCLTECH,7229
HDFCAMC,4244
HDFCBANK,1333
HDFCLIFE,467
HINDALCO,1363
HAL,2303
HINDUNILVR,1394
HINDZINC,1424
HYUNDAI,25844
ICICIBANK,4963
ITC,1660
INDHOTEL,1512
IOC,1624
IRFC,2029
INFY,1594
INDIGO,11195
JSWSTEEL,11723
JINDALSTEL,6733
JIOFIN,18143
KOTAKBANK,1922
LTM,17818
LT,11483
LODHA,3220
M&M,2031
MARUTI,10999
MAXHEALTH,22377
MAZDOCK,509
MUTHOOTFIN,23650
NTPC,11630
NESTLEIND,17963
ONGC,2475
PIDILITIND,2664
PFC,14299
POWERGRID,14977
PNB,10666
RECLTD,15355
RELIANCE,2885
SBILIFE,21808
MOTHERSON,4204
SHREECEM,3103
SHRIRAMFIN,4306
ENRIN,756871
SIEMENS,3150
SOLARINDS,13332
SBIN,3045
SUNPHARMA,3351
TVSMOTOR,8479
TATACAP,759265
TCS,11536
TATACONSUM,3432
TMCV,759782
TMPV,3456
TATAPOWER,3426
TATASTEEL,3499
TECHM,13538
TITAN,3506
TORNTPHARM,3518
TRENT,1964
ULTRACEMCO,11532
UNIONBANK,10753
UNITDSPR,10447
VBL,18921
VEDL,3063
WIPRO,3787
ZYDUSLIFE,7929
360ONE,13061
3MINDIA,474
ACC,22
AIAENG,13086
APLAPOLLO,25780
AUBANK,21238
AWL,8110
ABBOTINDIA,17903
ATGL,6066
ABCAPITAL,21614
AJANTPHARM,8124
ALKEM,11703
ANTHEM,757885
APARINDS,11491
APOLLOTYRE,163
ASHOKLEY,212
ASTRAL,14418
AUROPHARMA,275
AIIL,23553
BSE,19585
BAJAJHFL,25270
BALKRISIND,335
BANKINDIA,4745
MAHABANK,11377
BERGEPAINT,404
BDL,2144
BHARATFORG,422
BHEL,438
BHARTIHEXA,23489
GROWW,759806
BIOCON,11373
BLUESTARCO,8311
CRISIL,757
COCHINSHIP,21508
COFORGE,11543
COLPAL,15141
CONCOR,4749
COROMANDEL,739
DABUR,772
DALBHARAT,8075
DIXON,21690
ENDURANCE,18822
ESCORTS,958
EXIDEIND,676
NYKAA,6545
FEDERALBNK,1023
FORTIS,14592
GVT&D,16783
GMRAIRPORT,13528
GICRE,277
GLAXO,1153
GLENMARK,7406
MEDANTA,11956
GODFRYPHLP,1181
GODREJIND,10925
GODREJPROP,17875
FLUOROCHEM,13750
HDBFS,757772
HAVELLS,9819
HEROMOTOCO,1348
HEXT,29666
HINDPETRO,1406
POWERINDIA,18457
HONAUT,3417
HUDCO,20825
ICICIGI,21770
ICICIAMC,760407
ICICIPRULI,18652
IDFCFIRSTB,11184
ITCHOTELS,29251
INDIANB,14309
IRCTC,13611
IREDA,20261
INDUSTOWER,29135
INDUSINDBK,5258
NAUKRI,13751
IPCALAB,1633
JKCEMENT,13270
JSWENERGY,17869
JSWINFRA,19020
JSL,11236
JUBLFOOD,18096
KPRMILL,14912
KEI,13310
KPITTECH,9683
KALYANKJIL,2955
LTF,24948
LTTS,18564
LGEINDIA,760213
LICHSGFIN,1997
LAURUSLABS,19234
LENSKART,759605
LICI,9480
LINDEINDIA,1627
LLOYDSME,17313
LUPIN,10440
MRF,2277
M&MFIN,13285
MANKIND,15380
MARICO,4067
MFSL,2142
MOTILALOFS,14947
MPHASIS,4503
MCX,31181
NHPC,17400
NLCINDIA,8585
NMDC,15332
NTPCGREEN,27176
NATIONALUM,6364
NAM-INDIA,357
OBEROIRLTY,20242
OIL,17438
PAYTM,6705
OFSS,10738
POLICYBZR,6656
PIIND,24184
PAGEIND,14413
PATANJALI,17029
PERSISTENT,18365
PETRONET,11351
PHOENIXLTD,14552
POLYCAB,9590
PREMIERENE,25049
PRESTIGE,20302
RADICO,10990
RVNL,9552
SBICARD,17971
SJVN,18883
SRF,3273
SCHAEFFLER,1011
SAIL,2963
SUNDARMFIN,3339
SUPREMEIND,3363
SUZLON,12018
SWIGGY,27066
TATACOMM,3721
TATAELXSI,3411
TATAINVEST,1621
NIACL,399
THERMAX,3475
TORNTPOWER,13786
TIINDIA,312
UNOMINDA,14154
UPL,11287
UBL,16713
VMM,27969
IDEA,14366
VOLTAS,3718
WAAREEENER,25907
YESBANK,11915
