Index crossings (signals only, no forward figures): 10,262 in all

Per month: BANKNIFTY@1.5, BANKNIFTY@2.0, NIFTY@1.5, NIFTY@2.0
  month       BANKNIFTY@1.5   BANKNIFTY@2.0       NIFTY@1.5       NIFTY@2.0
  2017-11                29              26              31              28
  2017-12                26              22              28              25
  2018-01                29              26              30              24
  2018-02                24              23              25              24
  2018-03                26              23              27              26
  2018-04                26              25              28              25
  2018-05                27              26              30              26
  2018-06                25              25              26              26
  2018-07                29              25              28              24
  2018-08                24              23              26              23
  2018-09                28              26              30              29
  2018-10                30              28              29              28
  2018-11                22              21              26              22
  2018-12                23              21              22              21
  2019-01                31              29              32              30
  2019-02                26              25              24              23
  2019-03                21              21              24              20
  2019-04                29              26              25              22
  2019-05                29              28              30              30
  2019-06                26              23              24              24
  2019-07                30              28              33              30
  2019-08                27              26              26              25
  2019-09                23              23              24              24
  2019-10                27              26              27              24
  2019-11                21              21              23              20
  2019-12                24              20              27              20
  2020-01                30              28              29              26
  2020-02                23              22              23              23
  2020-03                31              29              31              30
  2020-04                23              22              21              20
  2020-05                22              22              22              19
  2020-06                27              25              26              25
  2020-07                27              25              27              24
  2020-08                22              21              23              22
  2020-09                31              29              29              27
  2020-10                29              28              27              25
  2020-11                26              25              27              25
  2020-12                25              21              25              24
  2021-01                26              23              26              25
  2021-02                27              26              24              22
  2021-03                27              26              24              24
  2021-04                26              25              24              22
  2021-05                23              20              22              22
  2021-06                28              26              30              25
  2021-07                24              22              29              24
  2021-08                27              25              31              30
  2021-09                27              24              28              26
  2021-10                27              25              30              28
  2021-11                27              25              28              26
  2021-12                31              27              28              25
  2022-01                25              24              23              22
  2022-02                26              25              29              28
  2022-03                28              27              28              25
  2022-04                27              22              22              22
  2022-05                24              23              27              26
  2022-06                31              28              32              29
  2022-07                30              27              25              24
  2022-08                27              25              27              25
  2022-09                30              28              29              29
  2022-10                20              19              20              20
  2022-11                26              22              25              19
  2022-12                31              28              29              27
  2023-01                30              30              32              27
  2023-02                29              23              29              25
  2023-03                29              26              28              27
  2023-04                21              20              21              17
  2023-05                25              25              27              27
  2023-06                26              20              28              26
  2023-07                32              32              28              25
  2023-08                27              25              28              28
  2023-09                27              25              27              25
  2023-10                26              24              24              22
  2023-11                26              24              26              25
  2023-12                29              26              28              25
  2024-01                32              30              30              29
  2024-02                34              30              31              28
  2024-03                24              22              23              21
  2024-04                24              21              28              24
  2024-05                32              25              29              28
  2024-06                25              21              22              21
  2024-07                23              18              25              19
  2024-08                22              18              19              16
  2024-09                25              20              24              23
  2024-10                29              25              33              31
  2024-11                26              23              25              20
  2024-12                27              24              27              24
  2025-01                28              26              29              27
  2025-02                25              23              24              21
  2025-03                25              24              25              25
  2025-04                25              22              23              20
  2025-05                26              23              23              22
  2025-06                28              24              24              21
  2025-07                29              25              29              22
  2025-08                24              22              22              21
  2025-09                28              27              28              25
  2025-10                25              24              26              25
  2025-11                27              22              28              26
  2025-12                29              29              28              26
  2026-01                27              26              27              26
  2026-02                27              23              25              24
  2026-03                14              14              13              13

Onset (the crossing bar's end), share of crossings by half hour, per period:
  2017-11..2023-12  BANKNIFTY  n=1,970 at open 51%  09:15 66%  09:45 7%  10:15 4%  10:45 3%  11:15 3%  11:45 2%  12:15 2%  12:45 2%  13:15 2%  13:45 2%  14:15 3%  14:45 2%  15:15 1%
  2017-11..2023-12  NIFTY      n=1,981 at open 52%  09:15 66%  09:45 8%  10:15 4%  10:45 3%  11:15 3%  11:45 2%  12:15 2%  12:45 2%  13:15 2%  13:45 2%  14:15 1%  14:45 4%  15:15 1%
  2024              BANKNIFTY  n=  323 at open 38%  09:15 55%  09:45 16%  10:15 6%  10:45 7%  11:15 3%  11:45 2%  12:15 4%  12:45 1%  13:15 2%  13:45 2%  14:15 2%  14:45 2%
  2024              NIFTY      n=  316 at open 44%  09:15 59%  09:45 12%  10:15 8%  10:45 3%  11:15 3%  11:45 3%  12:15 2%  12:45 1%  13:15 2%  13:45 2%  14:15 3%  14:45 1%  15:15 1%
  2025-01..2026-03  BANKNIFTY  n=  387 at open 42%  09:15 60%  09:45 10%  10:15 7%  10:45 3%  11:15 4%  11:45 1%  12:15 3%  12:45 2%  13:15 3%  13:45 1%  14:15 1%  14:45 2%  15:15 1%
  2025-01..2026-03  NIFTY      n=  374 at open 49%  09:15 68%  09:45 11%  10:15 6%  10:45 2%  11:15 2%  11:45 1%  12:15 1%  12:45 1%  13:15 2%  13:45 2%  14:15 1%  14:45 2%  15:15 0%
