name,stock_daily,stock_jump,sector,index,placebo
ABB,55,583,0,0,560
ABBOTINDIA,51,491,0,0,510
ABCAPITAL,47,534,0,0,539
ADANIENSOL,54,537,0,0,550
ADANIENT,61,472,0,0,582
ADANIGREEN,45,448,0,0,480
ADANIPORTS,58,447,0,0,566
ALKEM,46,551,0,0,523
AMBUJACEM,13,105,0,0,163
APLAPOLLO,45,510,0,0,517
APOLLOTYRE,53,533,0,0,544
ASIANPAINT,65,468,0,0,541
ASTRAL,52,509,0,0,539
ATGL,47,390,0,0,449
AUBANK,45,536,0,0,565
AWL,19,175,0,0,215
AXISBANK,43,421,0,0,551
BAJAJFINSV,52,459,0,0,558
BAJAJHLDNG,69,548,0,0,536
BAJFINANCE,49,438,0,0,551
BALKRISIND,53,477,0,0,605
BANKBARODA,53,508,0,0,537
BDL,16,186,0,0,187
BHARTIARTL,59,497,0,0,605
BHEL,58,535,0,0,545
BPCL,44,488,0,0,536
BRITANNIA,41,481,0,0,522
CANBK,57,507,0,0,549
CGPOWER,40,577,0,0,488
CHOLAFIN,48,485,0,0,546
COALINDIA,46,495,0,0,562
COCHINSHIP,61,575,0,0,561
COFORGE,52,491,0,0,579
CONCOR,54,509,0,0,568
COROMANDEL,57,549,0,0,528
CUMMINSIND,43,522,0,0,571
DALBHARAT,37,411,0,0,363
DIVISLAB,45,437,0,0,544
DIXON,53,475,0,0,507
DLF,50,444,0,0,510
DMART,55,606,0,0,533
DRREDDY,53,424,0,0,539
ESCORTS,67,502,0,0,586
EXIDEIND,55,522,0,0,556
FEDERALBNK,52,474,0,0,548
FLUOROCHEM,39,333,0,0,313
FORTIS,55,630,0,0,577
GAIL,50,474,0,0,573
GLENMARK,49,506,0,0,583
GMRAIRPORT,53,494,0,0,543
GODREJCP,42,448,0,0,511
GODREJIND,62,568,0,0,547
GRASIM,46,459,0,0,514
HAL,52,452,0,0,508
HCLTECH,46,407,0,0,551
HDFCAMC,46,429,0,0,436
HDFCBANK,36,309,0,0,432
HINDALCO,48,422,0,0,532
HINDPETRO,49,496,0,0,536
HINDUNILVR,44,400,0,0,524
HINDZINC,59,536,0,0,555
ICICIBANK,42,378,0,0,550
ICICIGI,40,480,0,0,474
ICICIPRULI,44,482,0,0,533
IDEA,62,501,0,0,624
IDFCFIRSTB,61,424,0,0,560
INDHOTEL,51,562,0,0,556
INFY,40,391,0,0,514
IOC,55,480,0,0,567
IPCALAB,52,536,0,0,571
IRCTC,44,335,0,0,401
IRFC,45,230,0,0,306
ITC,54,421,0,0,564
JINDALSTEL,49,469,0,0,528
JKCEMENT,54,545,0,0,524
JSWENERGY,50,561,0,0,508
JSWSTEEL,56,458,0,0,534
KALYANKJIL,28,270,0,0,269
KOTAKBANK,51,392,0,0,528
KPITTECH,42,400,0,0,417
LAURUSLABS,62,494,0,0,487
LICHSGFIN,15,139,0,0,182
LICI,23,178,0,0,188
LODHA,15,218,0,0,246
LT,52,426,0,0,552
LTF,46,489,0,0,525
LTM,53,483,0,0,565
LTTS,47,499,0,0,575
LUPIN,53,444,0,0,563
M&M,44,440,0,0,524
MARICO,48,500,0,0,568
MARUTI,52,464,0,0,512
MAXHEALTH,24,320,0,0,289
MAZDOCK,34,311,0,0,325
MCX,54,575,0,0,554
MFSL,44,513,0,0,513
MOTHERSON,54,534,0,0,579
MPHASIS,45,559,0,0,508
MUTHOOTFIN,42,473,0,0,551
NAM-INDIA,55,550,0,0,528
NATIONALUM,63,467,0,0,572
NAUKRI,55,545,0,0,550
NESTLEIND,49,484,0,0,546
NHPC,60,515,0,0,607
NIFTY,0,0,0,382,0
NIFTY AUTO,0,0,105,0,0
NIFTY ENERGY,0,0,110,0,0
NIFTY FIN SERVICE,0,0,98,0,0
NIFTY FMCG,0,0,100,0,0
NIFTY INFRA,0,0,102,0,0
NIFTY IT,0,0,99,0,0
NIFTY METAL,0,0,98,0,0
NIFTY PHARMA,0,0,117,0,0
NIFTY REALTY,0,0,109,0,0
NMDC,53,479,0,0,585
NTPC,53,479,0,0,491
OBEROIRLTY,49,478,0,0,549
OFSS,58,544,0,0,548
OIL,64,576,0,0,566
ONGC,44,463,0,0,554
PAYTM,17,218,0,0,203
PERSISTENT,53,558,0,0,562
PETRONET,57,494,0,0,563
PHOENIXLTD,42,578,0,0,488
PIDILITIND,50,518,0,0,545
PIIND,47,512,0,0,556
PNB,58,485,0,0,563
POLICYBZR,22,232,0,0,213
POLYCAB,39,377,0,0,413
POWERGRID,51,463,0,0,507
POWERINDIA,36,380,0,0,322
RECLTD,49,448,0,0,561
RVNL,56,399,0,0,476
SAIL,50,482,0,0,562
SBIN,51,465,0,0,561
SHREECEM,52,506,0,0,518
SHRIRAMFIN,25,212,0,0,233
SIEMENS,54,494,0,0,535
SRF,48,547,0,0,561
SUNPHARMA,64,434,0,0,586
SUPREMEIND,59,620,0,0,520
TATAELXSI,58,548,0,0,608
TATAPOWER,54,507,0,0,592
TATASTEEL,51,465,0,0,577
TECHM,42,424,0,0,554
TITAN,48,488,0,0,584
TMPV,54,487,0,0,613
TORNTPHARM,50,527,0,0,554
TORNTPOWER,54,515,0,0,556
TRENT,51,541,0,0,560
TVSMOTOR,50,481,0,0,551
ULTRACEMCO,54,471,0,0,559
UNITDSPR,43,489,0,0,555
VBL,53,556,0,0,575
VEDL,56,474,0,0,579
WIPRO,63,481,0,0,571
YESBANK,57,478,0,0,641
ZYDUSLIFE,63,486,0,0,538
