date,pnl
2016-10-03,0
2016-10-04,0
2016-10-05,0
2016-10-06,0
2016-10-07,0
2016-10-10,0
2016-10-13,0
2016-10-14,0
2016-10-17,0
2016-10-18,0
2016-10-19,0
2016-10-20,0
2016-10-21,0
2016-10-24,0
2016-10-25,0
2016-10-26,0
2016-10-27,0
2016-10-28,0
2016-11-01,0
2016-11-02,0
2016-11-03,0
2016-11-04,0
2016-11-07,0
2016-11-08,0
2016-11-09,0
2016-11-10,0
2016-11-11,0
2016-11-15,0
2016-11-16,0
2016-11-17,0
2016-11-18,0
2016-11-21,0
2016-11-22,0
2016-11-23,0
2016-11-24,0
2016-11-25,0
2016-11-28,0
2016-11-29,0
2016-11-30,0
2016-12-01,0
2016-12-02,0
2016-12-05,0
2016-12-06,0
2016-12-07,0
2016-12-08,0
2016-12-09,0
2016-12-12,0
2016-12-13,0
2016-12-14,0
2016-12-15,0
2016-12-16,0
2016-12-19,0
2016-12-20,0
2016-12-21,0
2016-12-22,0
2016-12-23,0
2016-12-26,0
2016-12-27,0
2016-12-28,0
2016-12-29,0
2016-12-30,0
2017-01-02,0
2017-01-03,0
2017-01-04,0
2017-01-05,0
2017-01-06,0
2017-01-09,0
2017-01-10,0
2017-01-11,0
2017-01-12,0
2017-01-13,0
2017-01-16,0
2017-01-17,0
2017-01-18,0
2017-01-19,0
2017-01-20,0
2017-01-23,0
2017-01-24,0
2017-01-25,0
2017-01-27,0
2017-01-30,0
2017-01-31,0
2017-02-01,0
2017-02-02,0
2017-02-03,0
2017-02-06,0
2017-02-07,0
2017-02-08,0
2017-02-09,0
2017-02-10,0
2017-02-13,0
2017-02-14,0
2017-02-15,0
2017-02-16,0
2017-02-17,0
2017-02-20,0
2017-02-21,0
2017-02-22,0
2017-02-23,0
2017-02-27,0
2017-02-28,0
2017-03-01,0
2017-03-02,0
2017-03-03,0
2017-03-06,0
2017-03-07,0
2017-03-08,0
2017-03-09,0
2017-03-10,0
2017-03-14,0
2017-03-15,0
2017-03-16,0
2017-03-17,0
2017-03-20,0
2017-03-21,0
2017-03-22,0
2017-03-23,0
2017-03-24,0
2017-03-27,0
2017-03-28,0
2017-03-29,0
2017-03-30,0
2017-03-31,0
2017-04-03,0
2017-04-05,0
2017-04-06,0
2017-04-07,0
2017-04-10,0
2017-04-11,0
2017-04-12,0
2017-04-13,0
2017-04-17,0
2017-04-18,0
2017-04-19,0
2017-04-20,0
2017-04-21,0
2017-04-24,0
2017-04-25,0
2017-04-26,0
2017-04-27,0
2017-04-28,0
2017-05-02,0
2017-05-03,0
2017-05-04,0
2017-05-05,0
2017-05-08,0
2017-05-09,0
2017-05-10,0
2017-05-11,0
2017-05-12,0
2017-05-15,0
2017-05-16,0
2017-05-17,0
2017-05-18,0
2017-05-19,0
2017-05-22,0
2017-05-23,0
2017-05-24,0
2017-05-25,0
2017-05-26,0
2017-05-29,0
2017-05-30,0
2017-05-31,0
2017-06-01,0
2017-06-02,0
2017-06-05,0
2017-06-06,0
2017-06-07,0
2017-06-08,0
2017-06-09,0
2017-06-12,0
2017-06-13,0
2017-06-14,0
2017-06-15,0
2017-06-16,0
2017-06-19,0
2017-06-20,0
2017-06-21,0
2017-06-22,0
2017-06-23,0
2017-06-27,0
2017-06-28,0
2017-06-29,0
2017-06-30,0
2017-07-03,0
2017-07-04,0
2017-07-05,0
2017-07-06,0
2017-07-07,0
2017-07-10,0
2017-07-11,0
2017-07-12,0
2017-07-13,0
2017-07-14,0
2017-07-17,0
2017-07-18,0
2017-07-19,0
2017-07-20,0
2017-07-21,0
2017-07-24,0
2017-07-25,0
2017-07-26,0
2017-07-27,0
2017-07-28,0
2017-07-31,0
2017-08-01,0
2017-08-02,0
2017-08-03,0
2017-08-04,0
2017-08-07,0
2017-08-08,-623.750000000
2017-08-09,-1183.200000000
2017-08-10,-887.400000000
2017-08-11,-398.641600000
2017-08-14,0E-9
2017-08-16,-129.107000000
2017-08-17,778.800000000
2017-08-18,-309.750000000
2017-08-21,-539.850000000
2017-08-22,-902.700000000
2017-08-23,1885.050000000
2017-08-24,177.000000000
2017-08-28,-1212.450000000
2017-08-29,265.500000000
2017-08-30,256.650000000
2017-08-31,354.000000000
2017-09-01,1159.350000000
2017-09-04,-637.200000000
2017-09-05,584.100000000
2017-09-06,212.400000000
2017-09-07,44.250000000
2017-09-08,-168.150000000
2017-09-11,150.450000000
2017-09-12,672.600000000
2017-09-13,-654.900000000
2017-09-14,141.600000000
2017-09-15,-646.867350000
2017-09-18,0E-9
2017-09-19,0E-9
2017-09-20,0E-9
2017-09-21,0E-9
2017-09-22,0E-9
2017-09-25,0E-9
2017-09-26,0E-9
2017-09-27,0E-9
2017-09-28,0E-9
2017-09-29,0E-9
2017-10-03,0E-9
2017-10-04,0E-9
2017-10-05,0E-9
2017-10-06,0E-9
2017-10-09,0E-9
2017-10-10,0E-9
2017-10-11,0E-9
2017-10-12,0E-9
2017-10-13,0E-9
2017-10-16,0E-9
2017-10-17,0E-9
2017-10-18,0E-9
2017-10-23,0E-9
2017-10-24,0E-9
2017-10-25,0E-9
2017-10-26,0E-9
2017-10-27,0E-9
2017-10-30,71.824000000
2017-10-31,-258.110000000
2017-11-01,46.640000000
2017-11-02,716.749210000
2017-11-03,-230.280000000
2017-11-06,123.710000000
2017-11-07,-1450.980000000
2017-11-08,-1239.800000000
2017-11-09,2010.761950000
2017-11-10,-556.670000000
2017-11-13,-683.610000000
2017-11-14,813.470000000
2017-11-15,-500.080000000
2017-11-16,2971.300000000
2017-11-17,-624.220000000
2017-11-20,1407.870000000
2017-11-21,-1056.010000000
2017-11-22,616.510000000
2017-11-23,-458.390000000
2017-11-24,619.340000000
2017-11-27,659.570000000
2017-11-28,1089.606760000
2017-11-29,1074.720000000
2017-11-30,773.340000000
2017-12-01,2827.249000000
2017-12-04,39.100000000
2017-12-05,-307.700000000
2017-12-06,-1480.700000000
2017-12-07,-521.900000000
2017-12-08,211.812000000
2017-12-11,0E-9
2017-12-12,0E-9
2017-12-13,0E-9
2017-12-14,0E-9
2017-12-15,0E-9
2017-12-18,0E-9
2017-12-19,0E-9
2017-12-20,0E-9
2017-12-21,0E-9
2017-12-22,0E-9
2017-12-26,0E-9
2017-12-27,0E-9
2017-12-28,0E-9
2017-12-29,0E-9
2018-01-01,0E-9
2018-01-02,0E-9
2018-01-03,0E-9
2018-01-04,0E-9
2018-01-05,0E-9
2018-01-08,0E-9
2018-01-09,0E-9
2018-01-10,0E-9
2018-01-11,0E-9
2018-01-12,0E-9
2018-01-15,0E-9
2018-01-16,0E-9
2018-01-17,0E-9
2018-01-18,0E-9
2018-01-19,0E-9
2018-01-22,0E-9
2018-01-23,0E-9
2018-01-24,0E-9
2018-01-25,2564.320000000
2018-01-29,-317.800000000
2018-01-30,-1470.000000000
2018-01-31,-1873.200000000
2018-02-01,2867.200000000
2018-02-02,-306.600000000
2018-02-05,-72.800000000
2018-02-06,-1642.200000000
2018-02-07,2373.000000000
2018-02-08,-50.400000000
2018-02-09,-282.800000000
2018-02-12,4581.339100000
2018-02-14,-1562.315000000
2018-02-15,-2055.650000000
2018-02-16,-4424.850000000
2018-02-19,-2717.419000000
2018-02-20,-1671.600000000
2018-02-21,2919.000000000
2018-02-22,-315.000000000
2018-02-23,1268.400000000
2018-02-26,306.600000000
2018-02-27,-197.598600000
2018-02-28,0E-9
2018-03-01,0E-9
2018-03-05,0E-9
2018-03-06,0E-9
2018-03-07,0E-9
2018-03-08,0E-9
2018-03-09,0E-9
2018-03-12,0E-9
2018-03-13,0E-9
2018-03-14,0E-9
2018-03-15,0E-9
2018-03-16,0E-9
2018-03-19,0E-9
2018-03-20,0E-9
2018-03-21,0E-9
2018-03-22,0E-9
2018-03-23,0E-9
2018-03-26,0E-9
2018-03-27,0E-9
2018-03-28,0E-9
2018-04-02,0E-9
2018-04-03,0E-9
2018-04-04,0E-9
2018-04-05,0E-9
2018-04-06,0E-9
2018-04-09,0E-9
2018-04-10,0E-9
2018-04-11,0E-9
2018-04-12,0E-9
2018-04-13,0E-9
2018-04-16,0E-9
2018-04-17,0E-9
2018-04-18,0E-9
2018-04-19,0E-9
2018-04-20,0E-9
2018-04-23,0E-9
2018-04-24,0E-9
2018-04-25,0E-9
2018-04-26,-179.803600000
2018-04-27,13.200000000
2018-04-30,158.224600000
2018-05-02,-1034.650000000
2018-05-03,821.350000000
2018-05-04,-996.900000000
2018-05-07,1208.800000000
2018-05-08,-87.750000000
2018-05-09,886.400000000
2018-05-10,-168.950000000
2018-05-11,2047.150000000
2018-05-14,-456.200000000
2018-05-15,-977.200000000
2018-05-16,-414.500000000
2018-05-17,-591.250000000
2018-05-18,-2051.650000000
2018-05-21,247.236000000
2018-05-22,698.150000000
2018-05-23,-24.950000000
2018-05-24,1600.800000000
2018-05-25,36.845100000
2018-05-28,128.814200000
2018-05-29,872.100000000
2018-05-30,278.903750000
2018-05-31,1093.100000000
2018-06-01,-1425.300000000
2018-06-04,-1533.100000000
2018-06-05,-3278.200000000
2018-06-06,1913.600000000
2018-06-07,1431.100000000
2018-06-08,-1846.150000000
2018-06-11,283.040000000
2018-06-12,963.100000000
2018-06-13,-1105.350000000
2018-06-14,144.800000000
2018-06-15,132.200000000
2018-06-18,-2173.950000000
2018-06-19,-341.600000000
2018-06-20,-593.720400000
2018-06-21,291.650000000
2018-06-22,-248.900000000
2018-06-25,-117.627000000
2018-06-26,0E-9
2018-06-27,0E-9
2018-06-28,0E-9
2018-06-29,0E-9
2018-07-02,0E-9
2018-07-03,0E-9
2018-07-04,0E-9
2018-07-05,0E-9
2018-07-06,0E-9
2018-07-09,0E-9
2018-07-10,0E-9
2018-07-11,0E-9
2018-07-12,0E-9
2018-07-13,0E-9
2018-07-16,0E-9
2018-07-17,0E-9
2018-07-18,0E-9
2018-07-19,0E-9
2018-07-20,0E-9
2018-07-23,1086.746000000
2018-07-24,731.870800000
2018-07-25,976.220000000
2018-07-26,1244.650000000
2018-07-27,-359.550000000
2018-07-30,-589.550000000
2018-07-31,-941.500000000
2018-08-01,562.450000000
2018-08-02,-2265.800000000
2018-08-03,1416.550000000
2018-08-06,-55.650000000
2018-08-07,-494.450000000
2018-08-08,-158.200000000
2018-08-09,1415.400000000
2018-08-10,718.200000000
2018-08-13,-718.600000000
2018-08-14,2224.950000000
2018-08-16,-626.850000000
2018-08-17,2842.550000000
2018-08-20,150.600000000
2018-08-21,255.300000000
2018-08-23,-54.350000000
