date,pnl
2016-10-03,0
2016-10-04,0
2016-10-05,0
2016-10-06,0
2016-10-07,0
2016-10-10,0
2016-10-13,0
2016-10-14,0
2016-10-17,0
2016-10-18,0
2016-10-19,0
2016-10-20,0
2016-10-21,0
2016-10-24,0
2016-10-25,0
2016-10-26,0
2016-10-27,0
2016-10-28,0
2016-11-01,0
2016-11-02,0
2016-11-03,0
2016-11-04,0
2016-11-07,0
2016-11-08,0
2016-11-09,0
2016-11-10,0
2016-11-11,0
2016-11-15,0
2016-11-16,0
2016-11-17,0
2016-11-18,0
2016-11-21,0
2016-11-22,0
2016-11-23,0
2016-11-24,0
2016-11-25,0
2016-11-28,0
2016-11-29,0
2016-11-30,0
2016-12-01,0
2016-12-02,0
2016-12-05,0
2016-12-06,0
2016-12-07,0
2016-12-08,0
2016-12-09,0
2016-12-12,0
2016-12-13,0
2016-12-14,0
2016-12-15,0
2016-12-16,0
2016-12-19,0
2016-12-20,0
2016-12-21,0
2016-12-22,0
2016-12-23,0
2016-12-26,0
2016-12-27,0
2016-12-28,0
2016-12-29,0
2016-12-30,0
2017-01-02,0
2017-01-03,0
2017-01-04,0
2017-01-05,0
2017-01-06,0
2017-01-09,0
2017-01-10,0
2017-01-11,0
2017-01-12,0
2017-01-13,0
2017-01-16,0
2017-01-17,0
2017-01-18,0
2017-01-19,0
2017-01-20,0
2017-01-23,0
2017-01-24,0
2017-01-25,0
2017-01-27,0
2017-01-30,0
2017-01-31,0
2017-02-01,0
2017-02-02,0
2017-02-03,0
2017-02-06,0
2017-02-07,0
2017-02-08,0
2017-02-09,0
2017-02-10,0
2017-02-13,0
2017-02-14,0
2017-02-15,0
2017-02-16,0
2017-02-17,0
2017-02-20,0
2017-02-21,0
2017-02-22,0
2017-02-23,0
2017-02-27,0
2017-02-28,0
2017-03-01,0
2017-03-02,0
2017-03-03,0
2017-03-06,0
2017-03-07,0
2017-03-08,0
2017-03-09,0
2017-03-10,0
2017-03-14,0
2017-03-15,0
2017-03-16,0
2017-03-17,0
2017-03-20,0
2017-03-21,0
2017-03-22,0
2017-03-23,0
2017-03-24,0
2017-03-27,0
2017-03-28,0
2017-03-29,0
2017-03-30,0
2017-03-31,0
2017-04-03,0
2017-04-05,0
2017-04-06,0
2017-04-07,0
2017-04-10,0
2017-04-11,0
2017-04-12,0
2017-04-13,0
2017-04-17,0
2017-04-18,0
2017-04-19,0
2017-04-20,0
2017-04-21,0
2017-04-24,0
2017-04-25,0
2017-04-26,0
2017-04-27,0
2017-04-28,0
2017-05-02,0
2017-05-03,0
2017-05-04,0
2017-05-05,0
2017-05-08,0
2017-05-09,0
2017-05-10,0
2017-05-11,0
2017-05-12,0
2017-05-15,0
2017-05-16,0
2017-05-17,0
2017-05-18,0
2017-05-19,0
2017-05-22,0
2017-05-23,0
2017-05-24,0
2017-05-25,0
2017-05-26,0
2017-05-29,0
2017-05-30,0
2017-05-31,0
2017-06-01,0
2017-06-02,0
2017-06-05,0
2017-06-06,0
2017-06-07,0
2017-06-08,0
2017-06-09,0
2017-06-12,0
2017-06-13,0
2017-06-14,0
2017-06-15,0
2017-06-16,0
2017-06-19,0
2017-06-20,0
2017-06-21,0
2017-06-22,0
2017-06-23,0
2017-06-27,0
2017-06-28,0
2017-06-29,0
2017-06-30,0
2017-07-03,0
2017-07-04,0
2017-07-05,0
2017-07-06,0
2017-07-07,0
2017-07-10,0
2017-07-11,0
2017-07-12,0
2017-07-13,0
2017-07-14,0
2017-07-17,0
2017-07-18,0
2017-07-19,0
2017-07-20,0
2017-07-21,0
2017-07-24,0
2017-07-25,0
2017-07-26,0
2017-07-27,0
2017-07-28,0
2017-07-31,0
2017-08-01,0
2017-08-02,0
2017-08-03,0
2017-08-04,0
2017-08-07,0
2017-08-08,-380.195000000
2017-08-09,-703.800000000
2017-08-10,-527.850000000
2017-08-11,-382.950000000
2017-08-14,403.650000000
2017-08-16,588.722000000
2017-08-17,237.150000000
2017-08-18,-126.900000000
2017-08-21,-415.650000000
2017-08-22,-1189.050000000
2017-08-23,1160.550000000
2017-08-24,-85.200000000
2017-08-28,-1043.400000000
2017-08-29,-130.865500000
2017-08-30,156.600000000
2017-08-31,216.000000000
2017-09-01,707.400000000
2017-09-04,-388.800000000
2017-09-05,356.400000000
2017-09-06,129.600000000
2017-09-07,27.000000000
2017-09-08,-102.600000000
2017-09-11,91.800000000
2017-09-12,410.400000000
2017-09-13,-399.600000000
2017-09-14,86.400000000
2017-09-15,-413.109400000
2017-09-18,0E-9
2017-09-19,0E-9
2017-09-20,0E-9
2017-09-21,0E-9
2017-09-22,0E-9
2017-09-25,0E-9
2017-09-26,0E-9
2017-09-27,0E-9
2017-09-28,0E-9
2017-09-29,0E-9
2017-10-03,0E-9
2017-10-04,0E-9
2017-10-05,0E-9
2017-10-06,0E-9
2017-10-09,0E-9
2017-10-10,0E-9
2017-10-11,0E-9
2017-10-12,0E-9
2017-10-13,0E-9
2017-10-16,0E-9
2017-10-17,0E-9
2017-10-18,0E-9
2017-10-23,0E-9
2017-10-24,0E-9
2017-10-25,0E-9
2017-10-26,0E-9
2017-10-27,0E-9
2017-10-30,34.496000000
2017-10-31,-155.840000000
2017-11-01,28.160000000
2017-11-02,411.929630000
2017-11-03,-137.960000000
2017-11-06,70.380000000
2017-11-07,-1543.330000000
2017-11-08,-1006.360000000
2017-11-09,2217.669800000
2017-11-10,-254.070000000
2017-11-13,-1021.720000000
2017-11-14,732.370000000
2017-11-15,-791.490000000
2017-11-16,361.513670000
2017-11-17,-24.090000000
2017-11-20,929.110000000
2017-11-21,-123.360000000
2017-11-22,-211.310000000
2017-11-23,-480.362500000
2017-11-24,970.560000000
2017-11-27,483.380000000
2017-11-28,286.061440000
2017-11-29,660.210000000
2017-11-30,502.120000000
2017-12-01,1384.657000000
2017-12-04,6.650000000
2017-12-05,-488.800000000
2017-12-06,-1042.973750000
2017-12-07,-322.350000000
2017-12-08,112.783000000
2017-12-11,0E-9
2017-12-12,0E-9
2017-12-13,0E-9
2017-12-14,0E-9
2017-12-15,0E-9
2017-12-18,0E-9
2017-12-19,0E-9
2017-12-20,0E-9
2017-12-21,0E-9
2017-12-22,0E-9
2017-12-26,0E-9
2017-12-27,0E-9
2017-12-28,0E-9
2017-12-29,0E-9
2018-01-01,0E-9
2018-01-02,0E-9
2018-01-03,0E-9
2018-01-04,0E-9
2018-01-05,0E-9
2018-01-08,0E-9
2018-01-09,0E-9
2018-01-10,0E-9
2018-01-11,0E-9
2018-01-12,0E-9
2018-01-15,0E-9
2018-01-16,0E-9
2018-01-17,0E-9
2018-01-18,0E-9
2018-01-19,0E-9
2018-01-22,0E-9
2018-01-23,0E-9
2018-01-24,0E-9
2018-01-25,1364.335000000
2018-01-29,-170.250000000
2018-01-30,-787.500000000
2018-01-31,-1003.500000000
2018-02-01,1536.000000000
2018-02-02,-164.250000000
2018-02-05,-39.000000000
2018-02-06,-879.750000000
2018-02-07,1271.250000000
2018-02-08,-27.000000000
2018-02-09,-151.500000000
2018-02-12,2441.111150000
2018-02-14,-887.701000000
2018-02-15,-1203.500000000
2018-02-16,-2499.600000000
2018-02-19,-2375.750000000
2018-02-20,-1555.511500000
2018-02-21,1067.900000000
2018-02-22,-386.148500000
2018-02-23,679.500000000
2018-02-26,164.250000000
2018-02-27,-127.769250000
2018-02-28,0E-9
2018-03-01,0E-9
2018-03-05,0E-9
2018-03-06,0E-9
2018-03-07,0E-9
2018-03-08,0E-9
2018-03-09,0E-9
2018-03-12,0E-9
2018-03-13,0E-9
2018-03-14,0E-9
2018-03-15,0E-9
2018-03-16,0E-9
2018-03-19,0E-9
2018-03-20,0E-9
2018-03-21,0E-9
2018-03-22,0E-9
2018-03-23,0E-9
2018-03-26,0E-9
2018-03-27,0E-9
2018-03-28,0E-9
2018-04-02,0E-9
2018-04-03,0E-9
2018-04-04,0E-9
2018-04-05,0E-9
2018-04-06,0E-9
2018-04-09,0E-9
2018-04-10,0E-9
2018-04-11,0E-9
2018-04-12,0E-9
2018-04-13,0E-9
2018-04-16,0E-9
2018-04-17,0E-9
2018-04-18,0E-9
2018-04-19,0E-9
2018-04-20,0E-9
2018-04-23,0E-9
2018-04-24,0E-9
2018-04-25,0E-9
2018-04-26,-107.225600000
2018-04-27,7.200000000
2018-04-30,64.497000000
2018-05-02,-560.250000000
2018-05-03,454.150000000
2018-05-04,-552.100000000
2018-05-07,669.400000000
2018-05-08,-43.950000000
2018-05-09,479.020000000
2018-05-10,-92.650000000
2018-05-11,1123.950000000
2018-05-14,-130.185000000
2018-05-15,-276.600000000
2018-05-16,-100.150000000
2018-05-17,-544.100000000
2018-05-18,-1148.750000000
2018-05-21,83.700000000
2018-05-22,217.800000000
2018-05-23,-30.800000000
2018-05-24,1457.500000000
2018-05-25,-127.998100000
2018-05-28,687.487200000
2018-05-29,-425.000000000
2018-05-30,-260.821250000
2018-05-31,842.755000000
2018-06-01,-771.760000000
2018-06-04,-1147.900000000
2018-06-05,-2155.950000000
2018-06-06,890.850000000
2018-06-07,1381.125000000
2018-06-08,-1207.900000000
2018-06-11,-59.740000000
2018-06-12,386.831750000
2018-06-13,-210.000000000
2018-06-14,82.650000000
2018-06-15,104.740000000
2018-06-18,-1305.350000000
2018-06-19,-481.590000000
2018-06-20,259.440000000
2018-06-21,-545.990000000
2018-06-22,11.750000000
2018-06-25,-572.863000000
2018-06-26,-380.295000000
2018-06-27,-235.527500000
2018-06-28,0E-9
2018-06-29,0E-9
2018-07-02,0E-9
2018-07-03,0E-9
2018-07-04,0E-9
2018-07-05,0E-9
2018-07-06,0E-9
2018-07-09,0E-9
2018-07-10,0E-9
2018-07-11,0E-9
2018-07-12,0E-9
2018-07-13,0E-9
2018-07-16,0E-9
2018-07-17,0E-9
2018-07-18,0E-9
2018-07-19,0E-9
2018-07-20,0E-9
2018-07-23,539.498000000
2018-07-24,415.354400000
2018-07-25,521.670000000
2018-07-26,605.800000000
2018-07-27,-88.225750000
2018-07-30,539.300000000
2018-07-31,-525.850000000
2018-08-01,600.850000000
2018-08-02,-1966.800000000
2018-08-03,1252.800000000
2018-08-06,444.700000000
2018-08-07,-522.350000000
2018-08-08,-57.350000000
2018-08-09,1395.100000000
2018-08-10,-950.400000000
2018-08-13,-1784.550000000
2018-08-14,1681.150000000
2018-08-16,-699.050000000
2018-08-17,2513.650000000
2018-08-20,881.050000000
2018-08-21,723.650000000
2018-08-23,-438.560000000
