date,pnl
2016-10-03,0
2016-10-04,0
2016-10-05,0
2016-10-06,0
2016-10-07,0
2016-10-10,0
2016-10-13,0
2016-10-14,0
2016-10-17,0
2016-10-18,0
2016-10-19,0
2016-10-20,0
2016-10-21,0
2016-10-24,0
2016-10-25,0
2016-10-26,0
2016-10-27,0
2016-10-28,0
2016-11-01,0
2016-11-02,0
2016-11-03,0
2016-11-04,0
2016-11-07,0
2016-11-08,0
2016-11-09,0
2016-11-10,0
2016-11-11,0
2016-11-15,0
2016-11-16,0
2016-11-17,0
2016-11-18,0
2016-11-21,0
2016-11-22,0
2016-11-23,0
2016-11-24,0
2016-11-25,0
2016-11-28,0
2016-11-29,0
2016-11-30,0
2016-12-01,0
2016-12-02,0
2016-12-05,0
2016-12-06,0
2016-12-07,0
2016-12-08,0
2016-12-09,0
2016-12-12,0
2016-12-13,0
2016-12-14,0
2016-12-15,0
2016-12-16,0
2016-12-19,0
2016-12-20,0
2016-12-21,0
2016-12-22,0
2016-12-23,0
2016-12-26,0
2016-12-27,0
2016-12-28,0
2016-12-29,0
2016-12-30,0
2017-01-02,0
2017-01-03,0
2017-01-04,0
2017-01-05,0
2017-01-06,0
2017-01-09,0
2017-01-10,0
2017-01-11,0
2017-01-12,0
2017-01-13,0
2017-01-16,0
2017-01-17,0
2017-01-18,0
2017-01-19,0
2017-01-20,0
2017-01-23,0
2017-01-24,0
2017-01-25,0
2017-01-27,0
2017-01-30,0
2017-01-31,0
2017-02-01,0
2017-02-02,0
2017-02-03,0
2017-02-06,0
2017-02-07,0
2017-02-08,0
2017-02-09,0
2017-02-10,0
2017-02-13,0
2017-02-14,0
2017-02-15,0
2017-02-16,0
2017-02-17,0
2017-02-20,0
2017-02-21,0
2017-02-22,0
2017-02-23,0
2017-02-27,0
2017-02-28,0
2017-03-01,0
2017-03-02,0
2017-03-03,0
2017-03-06,0
2017-03-07,0
2017-03-08,0
2017-03-09,0
2017-03-10,0
2017-03-14,0
2017-03-15,0
2017-03-16,0
2017-03-17,0
2017-03-20,0
2017-03-21,0
2017-03-22,0
2017-03-23,0
2017-03-24,0
2017-03-27,0
2017-03-28,0
2017-03-29,0
2017-03-30,0
2017-03-31,0
2017-04-03,0
2017-04-05,0
2017-04-06,0
2017-04-07,0
2017-04-10,0
2017-04-11,0
2017-04-12,0
2017-04-13,0
2017-04-17,0
2017-04-18,0
2017-04-19,0
2017-04-20,0
2017-04-21,0
2017-04-24,0
2017-04-25,0
2017-04-26,0
2017-04-27,0
2017-04-28,0
2017-05-02,0
2017-05-03,0
2017-05-04,0
2017-05-05,0
2017-05-08,0
2017-05-09,0
2017-05-10,0
2017-05-11,0
2017-05-12,0
2017-05-15,0
2017-05-16,0
2017-05-17,0
2017-05-18,0
2017-05-19,0
2017-05-22,0
2017-05-23,0
2017-05-24,0
2017-05-25,0
2017-05-26,0
2017-05-29,0
2017-05-30,0
2017-05-31,0
2017-06-01,0
2017-06-02,0
2017-06-05,0
2017-06-06,0
2017-06-07,0
2017-06-08,0
2017-06-09,0
2017-06-12,0
2017-06-13,0
2017-06-14,0
2017-06-15,0
2017-06-16,0
2017-06-19,0
2017-06-20,0
2017-06-21,0
2017-06-22,0
2017-06-23,0
2017-06-27,0
2017-06-28,0
2017-06-29,0
2017-06-30,0
2017-07-03,0
2017-07-04,0
2017-07-05,0
2017-07-06,0
2017-07-07,0
2017-07-10,0
2017-07-11,0
2017-07-12,0
2017-07-13,0
2017-07-14,0
2017-07-17,0
2017-07-18,0
2017-07-19,0
2017-07-20,0
2017-07-21,0
2017-07-24,0
2017-07-25,0
2017-07-26,0
2017-07-27,0
2017-07-28,0
2017-07-31,0
2017-08-01,0
2017-08-02,91.1829500000000000000000
2017-08-03,-3742.50000000000000000000000
2017-08-04,-742.72000000000000000000000
2017-08-07,1357.68280000000000000000001
2017-08-08,-1155.71000000000000000000000
2017-08-09,-3005.77000000000000000000000
2017-08-10,-1918.70623000000000000000000
2017-08-11,-1342.85000000000000000000000
2017-08-14,103.65590000000000000000000
2017-08-16,-358.20000000000000000000001
2017-08-17,372.00000000000000000000000
2017-08-18,-32.40000000000000000000000
2017-08-21,159.60000000000000000000001
2017-08-22,-209.40000000000000000000001
2017-08-23,-194.99999999999999999999999
2017-08-24,-442.20000000000000000000000
2017-08-28,583.80000000000000000000000
2017-08-29,100.80000000000000000000000
2017-08-30,528.00000000000000000000000
2017-08-31,42.00000000000000000000000
2017-09-01,155.39999999999999999999999
2017-09-04,-1260.16264999999999999999999
2017-09-05,586.85000000000000000000000
2017-09-06,1253.47000000000000000000000
2017-09-07,1514.74000000000000000000000
2017-09-08,-216.90000000000000000000000
2017-09-11,1593.41000000000000000000000
2017-09-12,3040.83000000000000000000000
2017-09-13,-1233.94000000000000000000000
2017-09-14,1342.74000000000000000000000
2017-09-15,145.17999999999999999999999
2017-09-18,818.33000000000000000000001
2017-09-19,-394.13000000000000000000000
2017-09-20,-411.78000000000000000000000
2017-09-21,-1058.23000000000000000000000
2017-09-22,-3839.81000000000000000000000
2017-09-25,-2411.04000000000000000000000
2017-09-26,2675.97000000000000000000000
2017-09-27,-1327.41000000000000000000000
2017-09-28,2118.37000000000000000000000
2017-09-29,1332.98999999999999999999999
2017-10-03,3507.69000000000000000000001
2017-10-04,1479.23040000000000000000000
2017-10-05,532.59999999999999999999999
2017-10-06,2080.6300000000000000000000
2017-10-09,1429.2400000000000000000000
2017-10-10,3318.9500000000000000000000
2017-10-11,220.7600000000000000000000
2017-10-12,2291.5700000000000000000000
2017-10-13,1140.9800000000000000000000
2017-10-16,-33.1600000000000000000000
2017-10-17,-76.0971244104229490450785
2017-10-18,1653.7408627156295531880078
2017-10-23,-1117.9803817386704276862831
2017-10-24,720.1806196549927148991875
2017-10-25,-2473.0482737113551351113317
2017-10-26,-549.0949460939268585290161
2017-10-27,1756.5632180905104766150426
2017-10-30,-656.6200008573857585126527
2017-10-31,-1826.7712333082851202098066
2017-11-01,-872.9830845567914382934955
2017-11-02,101.9244763689219584986269
2017-11-03,-741.2524666165702404196133
2017-11-06,-472.4561665414256010490331
2017-11-07,-1126.4472843210926117029980
2017-11-08,-729.3809868181052478703758
2017-11-09,129.5165499948675457606214
2017-11-10,1686.5724683313417574449186
2017-11-13,492.4292536703743148804865
2017-11-14,-1125.6479005465422925515751
2017-11-15,-2412.4613599829180904301325
2017-11-16,2010.8128372092258074414120
2017-11-17,1181.3971610760026755332827
2017-11-20,175.5412384525996712857224
2017-11-21,-2014.2959363415751404500024
2017-11-22,500.8516133321840308707845
2017-11-23,-193.1658088095564117170239
2017-11-24,-382.5653081127248404242884
2017-11-27,-1019.4848117028220616948164
2017-11-28,-641.2024726182705500081817
2017-11-29,130.7758199555712723815081
2017-11-30,-1248.2530785550911287049270
2017-12-01,-1486.90540280785610212845537
2017-12-04,2030.30508481212328924090297
2017-12-05,934.4100000000000000000000
2017-12-06,-198.9300000000000000000000
2017-12-07,957.5100000000000000000000
2017-12-08,950.7800000000000000000000
2017-12-11,151.4000000000000000000000
2017-12-12,-755.5900000000000000000000
2017-12-13,-1240.1200000000000000000000
2017-12-14,423.2600000000000000000000
2017-12-15,1935.7800000000000000000000
2017-12-18,799.8700000000000000000000
2017-12-19,944.0300000000000000000000
2017-12-20,189.8800000000000000000000
2017-12-21,4079.7600000000000000000000
2017-12-22,1378.1500000000000000000000
2017-12-26,-916.3100000000000000000000
2017-12-27,239.8500000000000000000000
2017-12-28,206.5500000000000000000000
2017-12-29,706.7700000000000000000000
2018-01-01,-1198.5000000000000000000000
2018-01-02,-2404.5690600000000000000000
2018-01-03,1240.2500000000000000000000
2018-01-04,1812.0000000000000000000000
2018-01-05,2212.4500000000000000000000
2018-01-08,213.0500000000000000000000
2018-01-09,-561.5500000000000000000000
2018-01-10,-34.4500000000000000000000
2018-01-11,705.7500000000000000000000
2018-01-12,-208.8500000000000000000000
2018-01-15,278.7000000000000000000000
2018-01-16,-1589.8000000000000000000000
2018-01-17,982.9500000000000000000000
2018-01-18,-1492.1000000000000000000000
2018-01-19,680.7000000000000000000000
2018-01-22,811.7500000000000000000000
2018-01-23,-601.9500000000000000000000
2018-01-24,-2820.0000000000000000000000
2018-01-25,-620.9500000000000000000000
2018-01-29,-763.3500000000000000000000
2018-01-30,-1120.8500000000000000000000
2018-01-31,-1154.2000000000000000000000
2018-02-01,-900.7500000000000000000000
2018-02-02,-4185.7076000000000000000000
2018-02-05,554.6000000000000000000000
2018-02-06,-2371.6000000000000000000000
2018-02-07,530.4500000000000000000000
2018-02-08,2479.3500000000000000000000
2018-02-09,1450.1000000000000000000000
2018-02-12,1957.8500000000000000000000
2018-02-14,-62.6000000000000000000000
2018-02-15,-175.6500000000000000000000
2018-02-16,-2549.8000000000000000000000
2018-02-19,-1789.8500000000000000000000
2018-02-20,681.0000000000000000000000
2018-02-21,-18.8000000000000000000000
2018-02-22,885.8000000000000000000000
2018-02-23,2350.3000000000000000000000
2018-02-26,-58.2000000000000000000000
2018-02-27,-653.8500000000000000000000
2018-02-28,-1119.3500000000000000000000
2018-03-01,-806.8500000000000000000000
2018-03-05,-1469.4269000000000000000000
2018-03-06,-1621.0500000000000000000000
2018-03-07,-2424.80000000000000000000005
2018-03-08,382.06880000000000000000000
2018-03-09,60.45000000000000000000000
2018-03-12,1210.45000000000000000000000
2018-03-13,1070.35000000000000000000005
2018-03-14,-32.0500000000000000000000
2018-03-15,275.3500000000000000000000
2018-03-16,1095.9500000000000000000000
2018-03-19,-1186.2000000000000000000000
2018-03-20,-914.56755000000000000000005
2018-03-21,0E-23
2018-03-22,0E-23
2018-03-23,0E-23
2018-03-26,0E-23
2018-03-27,0E-23
2018-03-28,0E-23
2018-04-02,0E-23
2018-04-03,650.58250000000000000000005
2018-04-04,-3267.44000000000000000000005
2018-04-05,631.75027000000000000000000
2018-04-06,0E-23
2018-04-09,0E-23
2018-04-10,0E-23
2018-04-11,0E-23
2018-04-12,0E-23
2018-04-13,0E-23
2018-04-16,0E-23
2018-04-17,0E-23
2018-04-18,0E-23
2018-04-19,0E-23
2018-04-20,0E-23
2018-04-23,0E-23
2018-04-24,0E-23
2018-04-25,0E-23
2018-04-26,0E-23
2018-04-27,0E-23
2018-04-30,0E-23
2018-05-02,0E-23
2018-05-03,-2138.33984000000000000000000
2018-05-04,-458.31000000000000000000000
2018-05-07,1964.21000000000000000000000
2018-05-08,1057.62000000000000000000000
2018-05-09,1134.85000000000000000000000
