date,pnl
2016-10-03,0
2016-10-04,0
2016-10-05,0
2016-10-06,0
2016-10-07,0
2016-10-10,0
2016-10-13,0
2016-10-14,0
2016-10-17,0
2016-10-18,0
2016-10-19,0
2016-10-20,0
2016-10-21,0
2016-10-24,0
2016-10-25,0
2016-10-26,0
2016-10-27,0
2016-10-28,0
2016-11-01,0
2016-11-02,0
2016-11-03,0
2016-11-04,0
2016-11-07,0
2016-11-08,0
2016-11-09,0
2016-11-10,0
2016-11-11,0
2016-11-15,0
2016-11-16,0
2016-11-17,0
2016-11-18,0
2016-11-21,0
2016-11-22,0
2016-11-23,0
2016-11-24,0
2016-11-25,0
2016-11-28,0
2016-11-29,0
2016-11-30,0
2016-12-01,0
2016-12-02,0
2016-12-05,0
2016-12-06,0
2016-12-07,0
2016-12-08,0
2016-12-09,0
2016-12-12,0
2016-12-13,0
2016-12-14,0
2016-12-15,0
2016-12-16,0
2016-12-19,0
2016-12-20,0
2016-12-21,0
2016-12-22,0
2016-12-23,0
2016-12-26,0
2016-12-27,0
2016-12-28,0
2016-12-29,0
2016-12-30,0
2017-01-02,0
2017-01-03,0
2017-01-04,0
2017-01-05,0
2017-01-06,0
2017-01-09,0
2017-01-10,0
2017-01-11,0
2017-01-12,0
2017-01-13,0
2017-01-16,0
2017-01-17,0
2017-01-18,0
2017-01-19,0
2017-01-20,0
2017-01-23,0
2017-01-24,0
2017-01-25,0
2017-01-27,0
2017-01-30,0
2017-01-31,0
2017-02-01,0
2017-02-02,0
2017-02-03,0
2017-02-06,0
2017-02-07,0
2017-02-08,0
2017-02-09,0
2017-02-10,0
2017-02-13,0
2017-02-14,0
2017-02-15,0
2017-02-16,0
2017-02-17,0
2017-02-20,0
2017-02-21,0
2017-02-22,0
2017-02-23,0
2017-02-27,0
2017-02-28,0
2017-03-01,0
2017-03-02,0
2017-03-03,0
2017-03-06,0
2017-03-07,0
2017-03-08,0
2017-03-09,0
2017-03-10,0
2017-03-14,0
2017-03-15,0
2017-03-16,0
2017-03-17,0
2017-03-20,0
2017-03-21,0
2017-03-22,0
2017-03-23,0
2017-03-24,0
2017-03-27,0
2017-03-28,0
2017-03-29,0
2017-03-30,0
2017-03-31,0
2017-04-03,0
2017-04-05,0
2017-04-06,0
2017-04-07,0
2017-04-10,0
2017-04-11,0
2017-04-12,0
2017-04-13,0
2017-04-17,0
2017-04-18,0
2017-04-19,0
2017-04-20,0
2017-04-21,0
2017-04-24,0
2017-04-25,0
2017-04-26,0
2017-04-27,0
2017-04-28,0
2017-05-02,0
2017-05-03,0
2017-05-04,0
2017-05-05,0
2017-05-08,0
2017-05-09,0
2017-05-10,0
2017-05-11,0
2017-05-12,0
2017-05-15,0
2017-05-16,0
2017-05-17,0
2017-05-18,0
2017-05-19,0
2017-05-22,0
2017-05-23,0
2017-05-24,0
2017-05-25,0
2017-05-26,0
2017-05-29,0
2017-05-30,0
2017-05-31,0
2017-06-01,0
2017-06-02,0
2017-06-05,0
2017-06-06,0
2017-06-07,0
2017-06-08,0
2017-06-09,0
2017-06-12,0
2017-06-13,0
2017-06-14,0
2017-06-15,0
2017-06-16,0
2017-06-19,0
2017-06-20,0
2017-06-21,0
2017-06-22,0
2017-06-23,0
2017-06-27,0
2017-06-28,0
2017-06-29,0
2017-06-30,0
2017-07-03,0
2017-07-04,0
2017-07-05,0
2017-07-06,0
2017-07-07,0
2017-07-10,0
2017-07-11,0
2017-07-12,0
2017-07-13,0
2017-07-14,0
2017-07-17,0
2017-07-18,0
2017-07-19,0
2017-07-20,0
2017-07-21,0
2017-07-24,0
2017-07-25,0
2017-07-26,0
2017-07-27,0
2017-07-28,0
2017-07-31,0
2017-08-01,0
2017-08-02,0
2017-08-03,0
2017-08-04,0
2017-08-07,0
2017-08-08,0
2017-08-09,0
2017-08-10,0
2017-08-11,0
2017-08-14,0
2017-08-16,0
2017-08-17,0
2017-08-18,0
2017-08-21,0
2017-08-22,0
2017-08-23,0
2017-08-24,0
2017-08-28,0
2017-08-29,0
2017-08-30,0
2017-08-31,0
2017-09-01,0
2017-09-04,0
2017-09-05,0
2017-09-06,0
2017-09-07,0
2017-09-08,0
2017-09-11,0
2017-09-12,0
2017-09-13,0
2017-09-14,0
2017-09-15,0
2017-09-18,0
2017-09-19,0
2017-09-20,0
2017-09-21,0
2017-09-22,0
2017-09-25,0
2017-09-26,0
2017-09-27,0
2017-09-28,0
2017-09-29,0
2017-10-03,0
2017-10-04,0
2017-10-05,0
2017-10-06,0
2017-10-09,0
2017-10-10,0
2017-10-11,0
2017-10-12,0
2017-10-13,0
2017-10-16,0
2017-10-17,0
2017-10-18,0
2017-10-23,0
2017-10-24,0
2017-10-25,0
2017-10-26,0
2017-10-27,0
2017-10-30,0
2017-10-31,0
2017-11-01,0
2017-11-02,0
2017-11-03,0
2017-11-06,0
2017-11-07,0
2017-11-08,0
2017-11-09,0
2017-11-10,0
2017-11-13,0
2017-11-14,0
2017-11-15,0
2017-11-16,0
2017-11-17,0
2017-11-20,0
2017-11-21,0
2017-11-22,0
2017-11-23,0
2017-11-24,0
2017-11-27,0
2017-11-28,0
2017-11-29,0
2017-11-30,0
2017-12-01,0
2017-12-04,611.8984000000000000000000
2017-12-05,537.5000000000000000000000
2017-12-06,-188.3000000000000000000000
2017-12-07,1650.2000000000000000000000
2017-12-08,781.8000000000000000000000
2017-12-11,459.1000000000000000000000
2017-12-12,-1243.2000000000000000000000
2017-12-13,-718.3000000000000000000000
2017-12-14,-974.5000000000000000000000
2017-12-15,3451.7000000000000000000000
2017-12-18,1796.4000000000000000000000
2017-12-19,1930.4000000000000000000000
2017-12-20,1596.6000000000000000000000
2017-12-21,4339.0000000000000000000000
2017-12-22,1276.2000000000000000000000
2017-12-26,609.2000000000000000000000
2017-12-27,-681.6000000000000000000000
2017-12-28,1259.5000000000000000000000
2017-12-29,944.3000000000000000000000
2018-01-01,-686.0000000000000000000000
2018-01-02,-2735.5758000000000000000000
2018-01-03,3912.4000000000000000000000
2018-01-04,6457.2000000000000000000000
2018-01-05,-1022.9000000000000000000000
2018-01-08,4320.6000000000000000000000
2018-01-09,-1041.2000000000000000000000
2018-01-10,2517.1000000000000000000000
2018-01-11,1368.9000000000000000000000
2018-01-12,-205.4000000000000000000000
2018-01-15,1713.2000000000000000000000
2018-01-16,-413.4000000000000000000000
2018-01-17,1339.4000000000000000000000
2018-01-18,-1984.7000000000000000000000
2018-01-19,289.6000000000000000000000
2018-01-22,412.5000000000000000000000
2018-01-23,4328.8000000000000000000000
2018-01-24,-4137.3000000000000000000000
2018-01-25,-14.0000000000000000000000
2018-01-29,-3050.0000000000000000000000
2018-01-30,-710.6000000000000000000000
2018-01-31,-979.5000000000000000000000
2018-02-01,-1874.3000000000000000000000
2018-02-02,-6002.6000000000000000000000
2018-02-05,1142.2000000000000000000000
2018-02-06,-2592.9000000000000000000000
2018-02-07,257.6600000000000000000000
2018-02-08,3517.5000000000000000000000
2018-02-09,2702.6000000000000000000000
2018-02-12,1354.1000000000000000000000
2018-02-14,-510.9000000000000000000000
2018-02-15,-1444.7000000000000000000000
2018-02-16,-3819.0000000000000000000000
2018-02-19,-1849.0000000000000000000000
2018-02-20,648.2000000000000000000000
2018-02-21,301.3000000000000000000000
2018-02-22,1476.5000000000000000000000
2018-02-23,3182.4000000000000000000000
2018-02-26,300.8000000000000000000000
2018-02-27,-1555.9000000000000000000000
2018-02-28,-2085.3000000000000000000000
2018-03-01,-866.1000000000000000000000
2018-03-05,-2355.8714400000000000000000
2018-03-06,-4554.6400000000000000000000
2018-03-07,-5231.2800000000000000000000
2018-03-08,148.4288800000000000000000
2018-03-09,-1446.6000000000000000000000
2018-03-12,2108.4000000000000000000000
2018-03-13,-273.6000000000000000000000
2018-03-14,1.4000000000000000000000
2018-03-15,-17.6000000000000000000000
2018-03-16,534.9000000000000000000000
2018-03-19,-1834.9000000000000000000000
2018-03-20,-1198.7342000000000000000000
2018-03-21,0E-22
2018-03-22,0E-22
2018-03-23,0E-22
2018-03-26,0E-22
2018-03-27,0E-22
2018-03-28,0E-22
2018-04-02,0E-22
2018-04-03,1749.6550000000000000000000
2018-04-04,-5505.0200000000000000000000
2018-04-05,999.5310100000000000000000
2018-04-06,0E-22
2018-04-09,0E-22
2018-04-10,0E-22
2018-04-11,0E-22
2018-04-12,0E-22
2018-04-13,0E-22
2018-04-16,0E-22
2018-04-17,0E-22
2018-04-18,0E-22
2018-04-19,0E-22
2018-04-20,0E-22
2018-04-23,0E-22
2018-04-24,0E-22
2018-04-25,0E-22
2018-04-26,0E-22
2018-04-27,0E-22
2018-04-30,0E-22
2018-05-02,0E-22
2018-05-03,-2050.2568100000000000000000
2018-05-04,-1350.8900000000000000000000
2018-05-07,-174.0177200000000000000000
2018-05-08,87.9000000000000000000000
2018-05-09,-751.6000000000000000000000
2018-05-10,1084.6000000000000000000000
2018-05-11,-837.6500000000000000000000
2018-05-14,-1849.4000000000000000000000
2018-05-15,-2044.3000000000000000000000
2018-05-16,62.5040000000000000000000
2018-05-17,1.1000000000000000000000
2018-05-18,-1711.6000000000000000000000
2018-05-21,-1578.5000000000000000000000
2018-05-22,-109.6777000000000000000000
2018-05-23,0E-22
2018-05-24,0E-22
2018-05-25,0E-22
2018-05-28,0E-22
2018-05-29,0E-22
2018-05-30,0E-22
2018-05-31,0E-22
2018-06-01,0E-22
2018-06-04,-1037.6863500000000000000000
2018-06-05,-3294.0900000000000000000000
2018-06-06,1413.0555200000000000000000
2018-06-07,2834.8000000000000000000000
2018-06-08,-765.1000000000000000000000
2018-06-11,1256.1000000000000000000000
2018-06-12,997.0000000000000000000000
2018-06-13,-495.8500000000000000000000
2018-06-14,142.4000000000000000000000
2018-06-15,-297.1500000000000000000000
2018-06-18,-119.1000000000000000000000
2018-06-19,-693.9500000000000000000000
2018-06-20,995.7000000000000000000000
2018-06-21,-1.7000000000000000000000
2018-06-22,2721.4000000000000000000000
2018-06-25,296.4000000000000000000000
2018-06-26,-1466.8500000000000000000000
2018-06-27,-3866.3000000000000000000000
2018-06-28,-1440.4172000000000000000000
2018-06-29,2140.8000000000000000000000
2018-07-02,-312.2000000000000000000000
2018-07-03,-436.6285500000000000000000
2018-07-04,229.4900000000000000000000
2018-07-05,-291.8900000000000000000000
2018-07-06,176.7400000000000000000000
2018-07-09,1018.0800000000000000000000
2018-07-10,1756.2300000000000000000000
2018-07-11,1489.1900000000000000000000
