date,pnl
2016-10-03,0
2016-10-04,0
2016-10-05,0
2016-10-06,0
2016-10-07,0
2016-10-10,0
2016-10-13,0
2016-10-14,0
2016-10-17,0
2016-10-18,0
2016-10-19,0
2016-10-20,0
2016-10-21,0
2016-10-24,0
2016-10-25,0
2016-10-26,0
2016-10-27,0
2016-10-28,0
2016-11-01,0
2016-11-02,0
2016-11-03,0
2016-11-04,0
2016-11-07,0
2016-11-08,0
2016-11-09,0
2016-11-10,0
2016-11-11,0
2016-11-15,0
2016-11-16,0
2016-11-17,0
2016-11-18,0
2016-11-21,0
2016-11-22,0
2016-11-23,0
2016-11-24,0
2016-11-25,0
2016-11-28,0
2016-11-29,0
2016-11-30,0
2016-12-01,0
2016-12-02,0
2016-12-05,0
2016-12-06,0
2016-12-07,0
2016-12-08,0
2016-12-09,0
2016-12-12,0
2016-12-13,0
2016-12-14,0
2016-12-15,0
2016-12-16,0
2016-12-19,0
2016-12-20,0
2016-12-21,0
2016-12-22,0
2016-12-23,0
2016-12-26,0
2016-12-27,0
2016-12-28,0
2016-12-29,0
2016-12-30,0
2017-01-02,0
2017-01-03,0
2017-01-04,0
2017-01-05,0
2017-01-06,0
2017-01-09,0
2017-01-10,0
2017-01-11,0
2017-01-12,0
2017-01-13,0
2017-01-16,0
2017-01-17,0
2017-01-18,0
2017-01-19,0
2017-01-20,0
2017-01-23,0
2017-01-24,0
2017-01-25,0
2017-01-27,0
2017-01-30,0
2017-01-31,0
2017-02-01,0
2017-02-02,0
2017-02-03,0
2017-02-06,0
2017-02-07,0
2017-02-08,0
2017-02-09,0
2017-02-10,0
2017-02-13,0
2017-02-14,0
2017-02-15,0
2017-02-16,0
2017-02-17,0
2017-02-20,0
2017-02-21,0
2017-02-22,0
2017-02-23,0
2017-02-27,0
2017-02-28,0
2017-03-01,0
2017-03-02,0
2017-03-03,0
2017-03-06,0
2017-03-07,0
2017-03-08,0
2017-03-09,0
2017-03-10,0
2017-03-14,0
2017-03-15,0
2017-03-16,0
2017-03-17,0
2017-03-20,0
2017-03-21,0
2017-03-22,0
2017-03-23,0
2017-03-24,0
2017-03-27,0
2017-03-28,0
2017-03-29,0
2017-03-30,0
2017-03-31,0
2017-04-03,0
2017-04-05,0
2017-04-06,0
2017-04-07,0
2017-04-10,0
2017-04-11,0
2017-04-12,0
2017-04-13,0
2017-04-17,0
2017-04-18,0
2017-04-19,0
2017-04-20,0
2017-04-21,0
2017-04-24,0
2017-04-25,0
2017-04-26,0
2017-04-27,0
2017-04-28,0
2017-05-02,0
2017-05-03,0
2017-05-04,0
2017-05-05,0
2017-05-08,0
2017-05-09,0
2017-05-10,0
2017-05-11,0
2017-05-12,0
2017-05-15,0
2017-05-16,0
2017-05-17,0
2017-05-18,0
2017-05-19,0
2017-05-22,0
2017-05-23,0
2017-05-24,0
2017-05-25,0
2017-05-26,0
2017-05-29,0
2017-05-30,0
2017-05-31,0
2017-06-01,0
2017-06-02,0
2017-06-05,0
2017-06-06,0
2017-06-07,0
2017-06-08,0
2017-06-09,0
2017-06-12,0
2017-06-13,0
2017-06-14,0
2017-06-15,0
2017-06-16,0
2017-06-19,0
2017-06-20,0
2017-06-21,0
2017-06-22,0
2017-06-23,0
2017-06-27,0
2017-06-28,0
2017-06-29,0
2017-06-30,0
2017-07-03,0
2017-07-04,0
2017-07-05,0
2017-07-06,0
2017-07-07,0
2017-07-10,0
2017-07-11,0
2017-07-12,0
2017-07-13,0
2017-07-14,0
2017-07-17,0
2017-07-18,0
2017-07-19,0
2017-07-20,0
2017-07-21,0
2017-07-24,0
2017-07-25,-2338.49965000000000000000001
2017-07-26,716.95000000000000000000002
2017-07-27,-1099.90000000000000000000001
2017-07-28,1509.60000000000000000000000
2017-07-31,-466.74999999999999999999999
2017-08-01,2276.68893999999999999999999
2017-08-02,385.810000000
2017-08-03,-2499.500000000
2017-08-04,-213.615000000
2017-08-07,576.570000000
2017-08-08,-2279.472000000
2017-08-09,-4693.690000000
2017-08-10,-4396.345210000
2017-08-11,-3875.184000000
2017-08-14,0E-9
2017-08-16,913.817800000
2017-08-17,223.150000000
2017-08-18,-1118.200000000
2017-08-21,-2905.150000000
2017-08-22,-324.450000000
2017-08-23,1657.700000000
2017-08-24,398.050000000
2017-08-28,2696.650000000
2017-08-29,-1698.250000000
2017-08-30,3626.450000000
2017-08-31,1803.850000000
2017-09-01,1423.550000000
2017-09-04,-1854.400000000
2017-09-05,1013.050000000
2017-09-06,783.150000000
2017-09-07,691.600000000
2017-09-08,446.900000000
2017-09-11,1077.300000000
2017-09-12,3989.374700000
2017-09-13,-793.800000000
2017-09-14,193.150000000
2017-09-15,-474.200000000
2017-09-18,-521.500000000
2017-09-19,-211.550000000
2017-09-20,-871.400000000
2017-09-21,-430.350000000
2017-09-22,-3612.950000000
2017-09-25,-2437.300000000
2017-09-26,3211.450000000
2017-09-27,-1079.250000000
2017-09-28,2647.956000000
2017-09-29,2562.750000000
2017-10-03,1403.700000000
2017-10-04,1245.418800000
2017-10-05,375.850000000
2017-10-06,2057.800000000
2017-10-09,1583.800000000
2017-10-10,5428.250000000
2017-10-11,1603.100000000
2017-10-12,3477.950000000
2017-10-13,1489.700000000
2017-10-16,-808.600000000
2017-10-17,233.340000000
2017-10-18,2806.360000000
2017-10-23,-297.700000000
2017-10-24,622.350000000
2017-10-25,-3670.500000000
2017-10-26,-1.977000000
2017-10-27,277.600000000
2017-10-30,-2445.300000000
2017-10-31,-3042.925000000
2017-11-01,-703.650000000
2017-11-02,785.500000000
2017-11-03,-1792.550000000
2017-11-06,-1162.600000000
2017-11-07,-1346.200000000
2017-11-08,-888.400000000
2017-11-09,-320.700000000
2017-11-10,2780.350000000
2017-11-13,1674.950000000
2017-11-14,-2070.800000000
2017-11-15,-3104.050000000
2017-11-16,2761.100000000
2017-11-17,1710.950000000
2017-11-20,-383.800000000
2017-11-21,-2690.400000000
2017-11-22,397.264000000
2017-11-23,49.450000000
2017-11-24,-828.000000000
2017-11-27,-1738.000000000
2017-11-28,-680.13004000000000000000000
2017-11-29,-535.23000000000000000000000
2017-11-30,-2537.33000000000000000000000
2017-12-01,-2897.77000000000000000000000
2017-12-04,3067.30000000000000000000000
2017-12-05,1310.59000000000000000000000
2017-12-06,282.48000000000000000000000
2017-12-07,1394.99000000000000000000000
2017-12-08,156.72000000000000000000000
2017-12-11,111.70000000000000000000000
2017-12-12,-1109.06000000000000000000000
2017-12-13,-993.03000000000000000000000
2017-12-14,192.89000000000000000000000
2017-12-15,3494.12000000000000000000000
2017-12-18,670.0300000000000000000000
2017-12-19,87.3466400000000000000000
2017-12-20,414.6000000000000000000000
2017-12-21,6018.0000000000000000000000
2017-12-22,2494.6500000000000000000000
2017-12-26,-2260.2500000000000000000000
2017-12-27,98.9500000000000000000000
2017-12-28,-621.2500000000000000000000
2017-12-29,683.2500000000000000000000
2018-01-01,-1295.3000000000000000000000
2018-01-02,-2980.3500000000000000000000
2018-01-03,1339.4500000000000000000000
2018-01-04,694.9000000000000000000000
2018-01-05,60.8500000000000000000000
2018-01-08,239.1500000000000000000000
2018-01-09,-301.2500000000000000000000
2018-01-10,529.2500000000000000000000
2018-01-11,1549.4500000000000000000000
2018-01-12,106.5500000000000000000000
2018-01-15,345.1000000000000000000000
2018-01-16,-80.5732000000000000000000
2018-01-17,1965.4000000000000000000000
2018-01-18,-1663.2000000000000000000000
2018-01-19,655.7000000000000000000000
2018-01-22,-830.6000000000000000000000
2018-01-23,-255.5500000000000000000000
2018-01-24,-957.0500000000000000000000
2018-01-25,-697.9000000000000000000000
2018-01-29,-1687.1500000000000000000000
2018-01-30,-1517.4992500000000000000000
2018-01-31,-1317.2500000000000000000000
2018-02-01,-322.1000000000000000000000
2018-02-02,-5090.35000000000000000000000
2018-02-05,1087.20000000000000000000000
2018-02-06,-2263.15000000000000000000000
2018-02-07,837.40000000000000000000000
2018-02-08,2655.60000000000000000000000
2018-02-09,2034.35000000000000000000000
2018-02-12,2031.4000000000000000000000
2018-02-14,-75.0060000000000000000000
2018-02-15,-1020.2500000000000000000000
2018-02-16,-2955.30000000000000000000000
2018-02-19,-2094.00000000000000000000000
2018-02-20,1455.90000000000000000000000
2018-02-21,863.75000000000000000000000
2018-02-22,1212.55000000000000000000000
2018-02-23,1477.7000000000000000000000
2018-02-26,158.7000000000000000000000
2018-02-27,-1323.3500000000000000000000
2018-02-28,-1263.6500000000000000000000
2018-03-01,-375.25000000000000000000000
2018-03-05,-1497.55000000000000000000000
2018-03-06,-2259.10000000000000000000000
2018-03-07,-3493.35000000000000000000000
2018-03-08,-662.55000000000000000000000
2018-03-09,1354.85000000000000000000000
2018-03-12,974.95000000000000000000000
2018-03-13,-425.61480000000000000000000
2018-03-14,-501.75000000000000000000000
2018-03-15,-415.30000000000000000000000
2018-03-16,993.80000000000000000000000
2018-03-19,-2271.05000000000000000000000
2018-03-20,-1165.17395000000000000000000
2018-03-21,0E-23
2018-03-22,0E-23
2018-03-23,0E-23
2018-03-26,0E-23
2018-03-27,0E-23
2018-03-28,0E-23
2018-04-02,0E-23
2018-04-03,1649.69700000000000000000000
2018-04-04,-3447.18000000000000000000000
2018-04-05,545.12994000000000000000000
2018-04-06,0E-23
2018-04-09,0E-23
2018-04-10,-669.34823000000000000000000
2018-04-11,-181.39000000000000000000000
2018-04-12,1004.90000000000000000000000
2018-04-13,-283.92000000000000000000000
2018-04-16,-717.77000000000000000000000
2018-04-17,307.83000000000000000000000
2018-04-18,-373.86000000000000000000000
2018-04-19,567.72000000000000000000000
2018-04-20,2049.32000000000000000000000
2018-04-23,4240.42000000000000000000000
2018-04-24,-434.06300000000000000000000
2018-04-25,6363.57000000000000000000000
2018-04-26,1084.0600000000000000000000
2018-04-27,-1743.9900000000000000000000
2018-04-30,294.8200000000000000000000
2018-05-02,-4573.32000000000000000000000
2018-05-03,-1825.33000000000000000000000
2018-05-04,-1065.11000000000000000000000
2018-05-07,2181.76000000000000000000000
2018-05-08,1209.52000000000000000000000
2018-05-09,1259.10000000000000000000000
2018-05-10,-1933.13000000000000000000000
2018-05-11,2824.37000000000000000000000
2018-05-14,1074.82000000000000000000000
2018-05-15,-1797.03000000000000000000000
2018-05-16,469.60000000000000000000000
2018-05-17,-905.02000000000000000000000
2018-05-18,-2567.58000000000000000000000
2018-05-21,-400.13000000000000000000000
2018-05-22,-353.05000000000000000000000
2018-05-23,1000.89000000000000000000000
