date,pnl
2016-10-03,0
2016-10-04,0
2016-10-05,0
2016-10-06,0
2016-10-07,0
2016-10-10,0
2016-10-13,0
2016-10-14,0
2016-10-17,0
2016-10-18,0
2016-10-19,0
2016-10-20,0
2016-10-21,0
2016-10-24,0
2016-10-25,0
2016-10-26,0
2016-10-27,0
2016-10-28,0
2016-11-01,0
2016-11-02,0
2016-11-03,0
2016-11-04,0
2016-11-07,0
2016-11-08,0
2016-11-09,0
2016-11-10,0
2016-11-11,0
2016-11-15,0
2016-11-16,0
2016-11-17,0
2016-11-18,0
2016-11-21,0
2016-11-22,0
2016-11-23,0
2016-11-24,0
2016-11-25,0
2016-11-28,0
2016-11-29,0
2016-11-30,0
2016-12-01,0
2016-12-02,0
2016-12-05,0
2016-12-06,0
2016-12-07,0
2016-12-08,0
2016-12-09,0
2016-12-12,0
2016-12-13,0
2016-12-14,0
2016-12-15,0
2016-12-16,0
2016-12-19,0
2016-12-20,0
2016-12-21,0
2016-12-22,0
2016-12-23,0
2016-12-26,0
2016-12-27,0
2016-12-28,0
2016-12-29,0
2016-12-30,0
2017-01-02,0
2017-01-03,0
2017-01-04,0
2017-01-05,0
2017-01-06,0
2017-01-09,0
2017-01-10,0
2017-01-11,0
2017-01-12,0
2017-01-13,0
2017-01-16,0
2017-01-17,0
2017-01-18,0
2017-01-19,0
2017-01-20,0
2017-01-23,0
2017-01-24,0
2017-01-25,0
2017-01-27,0
2017-01-30,0
2017-01-31,0
2017-02-01,0
2017-02-02,0
2017-02-03,0
2017-02-06,0
2017-02-07,0
2017-02-08,0
2017-02-09,0
2017-02-10,0
2017-02-13,0
2017-02-14,0
2017-02-15,0
2017-02-16,0
2017-02-17,0
2017-02-20,0
2017-02-21,0
2017-02-22,0
2017-02-23,0
2017-02-27,0
2017-02-28,0
2017-03-01,0
2017-03-02,0
2017-03-03,0
2017-03-06,0
2017-03-07,0
2017-03-08,0
2017-03-09,0
2017-03-10,0
2017-03-14,0
2017-03-15,0
2017-03-16,0
2017-03-17,0
2017-03-20,0
2017-03-21,0
2017-03-22,0
2017-03-23,0
2017-03-24,0
2017-03-27,0
2017-03-28,0
2017-03-29,0
2017-03-30,0
2017-03-31,0
2017-04-03,0
2017-04-05,0
2017-04-06,0
2017-04-07,0
2017-04-10,0
2017-04-11,0
2017-04-12,0
2017-04-13,0
2017-04-17,0
2017-04-18,0
2017-04-19,0
2017-04-20,0
2017-04-21,0
2017-04-24,0
2017-04-25,0
2017-04-26,0
2017-04-27,0
2017-04-28,0
2017-05-02,0
2017-05-03,0
2017-05-04,0
2017-05-05,0
2017-05-08,0
2017-05-09,0
2017-05-10,0
2017-05-11,0
2017-05-12,0
2017-05-15,0
2017-05-16,0
2017-05-17,0
2017-05-18,0
2017-05-19,0
2017-05-22,0
2017-05-23,0
2017-05-24,0
2017-05-25,0
2017-05-26,0
2017-05-29,0
2017-05-30,0
2017-05-31,0
2017-06-01,0
2017-06-02,0
2017-06-05,0
2017-06-06,0
2017-06-07,0
2017-06-08,0
2017-06-09,0
2017-06-12,0
2017-06-13,0
2017-06-14,0
2017-06-15,0
2017-06-16,0
2017-06-19,0
2017-06-20,0
2017-06-21,0
2017-06-22,0
2017-06-23,0
2017-06-27,0
2017-06-28,0
2017-06-29,0
2017-06-30,0
2017-07-03,0
2017-07-04,0
2017-07-05,0
2017-07-06,0
2017-07-07,0
2017-07-10,0
2017-07-11,0
2017-07-12,0
2017-07-13,0
2017-07-14,0
2017-07-17,0
2017-07-18,0
2017-07-19,0
2017-07-20,0
2017-07-21,0
2017-07-24,0
2017-07-25,0
2017-07-26,0
2017-07-27,0
2017-07-28,0
2017-07-31,0
2017-08-01,0
2017-08-02,-451.507800000
2017-08-03,-2472.950000000
2017-08-04,-391.220000000
2017-08-07,1602.860000000
2017-08-08,-2075.310000000
2017-08-09,-4229.766600000
2017-08-10,-2066.862280000
2017-08-11,-2959.552000000
2017-08-14,0E-9
2017-08-16,0E-9
2017-08-17,0E-9
2017-08-18,0E-9
2017-08-21,0E-9
2017-08-22,0E-9
2017-08-23,0E-9
2017-08-24,0E-9
2017-08-28,0E-9
2017-08-29,0E-9
2017-08-30,0E-9
2017-08-31,0E-9
2017-09-01,0E-9
2017-09-04,-1958.728200000
2017-09-05,941.300000000
2017-09-06,734.200000000
2017-09-07,651.500000000
2017-09-08,391.700000000
2017-09-11,1015.350000000
2017-09-12,4386.550000000
2017-09-13,-1451.500000000
2017-09-14,1408.700000000
2017-09-15,-855.800000000
2017-09-18,-486.350000000
2017-09-19,195.950000000
2017-09-20,-426.000000000
2017-09-21,-1068.900000000
2017-09-22,-4718.350000000
2017-09-25,-2098.950000000
2017-09-26,2498.040800000
2017-09-27,65.950000000
2017-09-28,2494.100000000
2017-09-29,2395.000000000
2017-10-03,1265.400000000
2017-10-04,1074.595650000
2017-10-05,335.450000000
2017-10-06,2007.230000000
2017-10-09,1462.190000000
2017-10-10,4973.800000000
2017-10-11,1368.160000000
2017-10-12,3230.920000000
2017-10-13,1359.130000000
2017-10-16,-868.610000000
2017-10-17,64.230000000
2017-10-18,2680.310000000
2017-10-23,-317.840000000
2017-10-24,564.060000000
2017-10-25,-3654.990000000
2017-10-26,20.155700000
2017-10-27,271.100000000
2017-10-30,-2187.150000000
2017-10-31,-2436.800000000
2017-11-01,-831.200000000
2017-11-02,666.310000000
2017-11-03,-1677.250000000
2017-11-06,-1089.500000000
2017-11-07,-1314.500000000
2017-11-08,-822.950000000
2017-11-09,-242.550000000
2017-11-10,2609.150000000
2017-11-13,1468.750000000
2017-11-14,-2744.197100000
2017-11-15,-2635.000000000
2017-11-16,2016.500000000
2017-11-17,994.000000000
2017-11-20,-20.500000000
2017-11-21,-1013.250000000
2017-11-22,453.750000000
2017-11-23,68.750000000
2017-11-24,-738.000000000
2017-11-27,-1627.250000000
2017-11-28,-617.000000000
2017-11-29,-695.250000000
2017-11-30,-1746.500000000
2017-12-01,-2132.750000000
2017-12-04,2354.033000000
2017-12-05,1296.400000000
2017-12-06,433.450000000
2017-12-07,559.800000000
2017-12-08,556.750000000
2017-12-11,-133.150000000
2017-12-12,-168.200000000
2017-12-13,-1153.550000000
2017-12-14,483.800000000
2017-12-15,2577.700000000
2017-12-18,339.200000000
2017-12-19,440.000000000
2017-12-20,372.000000000
2017-12-21,5542.200000000
2017-12-22,2251.350000000
2017-12-26,-2051.200000000
2017-12-27,171.950000000
2017-12-28,-579.650000000
2017-12-29,669.450000000
2018-01-01,-1199.350000000
2018-01-02,-2770.050000000
2018-01-03,1328.000000000
2018-01-04,699.050000000
2018-01-05,171.950000000
2018-01-08,191.350000000
2018-01-09,-321.550000000
2018-01-10,495.250000000
2018-01-11,1447.250000000
2018-01-12,45.250000000
2018-01-15,255.350000000
2018-01-16,-436.950000000
2018-01-17,1626.600000000
2018-01-18,-1854.800000000
2018-01-19,526.300000000
2018-01-22,-149.400000000
2018-01-23,-508.750000000
2018-01-24,-1196.650000000
2018-01-25,70.300000000
2018-01-29,-906.550000000
2018-01-30,-1320.750000000
2018-01-31,-1248.750000000
2018-02-01,-348.200000000
2018-02-02,-4727.246000000
2018-02-05,1135.800000000
2018-02-06,-2212.700000000
2018-02-07,763.850000000
2018-02-08,2650.350000000
2018-02-09,1900.000000000
2018-02-12,1909.550000000
2018-02-14,348.300000000
2018-02-15,-1098.850000000
2018-02-16,-2589.100000000
2018-02-19,-2716.950000000
2018-02-20,398.200000000
2018-02-21,803.300000000
2018-02-22,1643.900000000
2018-02-23,2493.700000000
2018-02-26,-386.600000000
2018-02-27,-1331.150000000
2018-02-28,-1350.850000000
2018-03-01,-441.750000000
2018-03-05,-1753.326500000
2018-03-06,-1721.727000000
2018-03-07,-3180.100000000
2018-03-08,-197.000000000
2018-03-09,257.850000000
2018-03-12,1105.750000000
2018-03-13,278.200000000
2018-03-14,-973.650000000
2018-03-15,-651.950000000
2018-03-16,1471.350000000
2018-03-19,-1535.250000000
2018-03-20,-815.295950000
2018-03-21,0E-9
2018-03-22,0E-9
2018-03-23,0E-9
2018-03-26,0E-9
2018-03-27,0E-9
2018-03-28,0E-9
2018-04-02,0E-9
2018-04-03,1611.920000000
2018-04-04,-3375.440000000
2018-04-05,525.789520000
2018-04-06,0E-9
2018-04-09,0E-9
2018-04-10,0E-9
2018-04-11,0E-9
2018-04-12,0E-9
2018-04-13,0E-9
2018-04-16,0E-9
2018-04-17,0E-9
2018-04-18,0E-9
2018-04-19,0E-9
2018-04-20,0E-9
2018-04-23,0E-9
2018-04-24,0E-9
2018-04-25,0E-9
2018-04-26,0E-9
2018-04-27,0E-9
2018-04-30,0E-9
2018-05-02,0E-9
2018-05-03,-1877.458520000
2018-05-04,-829.530000000
2018-05-07,2349.421560000
2018-05-08,155.400000000
2018-05-09,1233.050000000
2018-05-10,-1375.600000000
2018-05-11,2094.950000000
2018-05-14,705.350000000
2018-05-15,-1349.050000000
2018-05-16,-164.100000000
2018-05-17,-172.250000000
2018-05-18,-1852.850000000
2018-05-21,-874.900000000
2018-05-22,-310.950000000
2018-05-23,-86.100000000
2018-05-24,1914.300000000
2018-05-25,1192.200000000
2018-05-28,-545.700000000
2018-05-29,15.650000000
2018-05-30,46.350000000
2018-05-31,567.350000000
2018-06-01,-1464.650000000
2018-06-04,-1834.820300000
2018-06-05,-3120.360000000
2018-06-06,1255.583030000
2018-06-07,732.900000000
2018-06-08,-163.550000000
2018-06-11,335.950000000
2018-06-12,62.500000000
2018-06-13,26.050000000
2018-06-14,-19.200000000
2018-06-15,591.800000000
2018-06-18,-553.350000000
2018-06-19,-129.600000000
2018-06-20,-397.250000000
2018-06-21,-266.950000000
2018-06-22,7.300000000
2018-06-25,-591.250000000
2018-06-26,-310.450000000
2018-06-27,392.650000000
2018-06-28,-1244.950000000
2018-06-29,181.600600000
2018-07-02,-412.300000000
2018-07-03,356.30708000000000000000000
2018-07-04,362.23000000000000000000000
2018-07-05,-834.15000000000000000000000
2018-07-06,-217.57000000000000000000000
2018-07-09,1012.72000000000000000000000
2018-07-10,1062.98000000000000000000000
2018-07-11,1651.75000000000000000000000
2018-07-12,1166.85000000000000000000000
2018-07-13,-64.71000000000000000000000
2018-07-16,-583.65000000000000000000000
2018-07-17,-366.50000000000000000000000
2018-07-18,-120.94000000000000000000000
2018-07-19,-3219.82000000000000000000000
2018-07-20,542.68000000000000000000000
2018-07-23,-300.39000000000000000000000
2018-07-24,3798.61000000000000000000000
