date,pnl
2016-10-03,0
2016-10-04,0
2016-10-05,0
2016-10-06,0
2016-10-07,0
2016-10-10,0
2016-10-13,0
2016-10-14,0
2016-10-17,0
2016-10-18,0
2016-10-19,0
2016-10-20,0
2016-10-21,0
2016-10-24,0
2016-10-25,0
2016-10-26,0
2016-10-27,0
2016-10-28,0
2016-11-01,0
2016-11-02,0
2016-11-03,0
2016-11-04,0
2016-11-07,0
2016-11-08,0
2016-11-09,0
2016-11-10,0
2016-11-11,0
2016-11-15,0
2016-11-16,0
2016-11-17,0
2016-11-18,0
2016-11-21,0
2016-11-22,0
2016-11-23,0
2016-11-24,0
2016-11-25,0
2016-11-28,0
2016-11-29,0
2016-11-30,0
2016-12-01,0
2016-12-02,0
2016-12-05,0
2016-12-06,0
2016-12-07,0
2016-12-08,0
2016-12-09,0
2016-12-12,0
2016-12-13,0
2016-12-14,0
2016-12-15,0
2016-12-16,0
2016-12-19,0
2016-12-20,0
2016-12-21,0
2016-12-22,0
2016-12-23,0
2016-12-26,0
2016-12-27,0
2016-12-28,0
2016-12-29,0
2016-12-30,0
2017-01-02,0
2017-01-03,0
2017-01-04,0
2017-01-05,0
2017-01-06,0
2017-01-09,0
2017-01-10,0
2017-01-11,0
2017-01-12,0
2017-01-13,0
2017-01-16,0
2017-01-17,0
2017-01-18,0
2017-01-19,0
2017-01-20,0
2017-01-23,0
2017-01-24,0
2017-01-25,0
2017-01-27,0
2017-01-30,0
2017-01-31,0
2017-02-01,0
2017-02-02,0
2017-02-03,0
2017-02-06,0
2017-02-07,0
2017-02-08,0
2017-02-09,0
2017-02-10,0
2017-02-13,0
2017-02-14,0
2017-02-15,0
2017-02-16,0
2017-02-17,0
2017-02-20,0
2017-02-21,0
2017-02-22,0
2017-02-23,0
2017-02-27,0
2017-02-28,0
2017-03-01,0
2017-03-02,0
2017-03-03,0
2017-03-06,0
2017-03-07,0
2017-03-08,0
2017-03-09,0
2017-03-10,0
2017-03-14,0
2017-03-15,0
2017-03-16,0
2017-03-17,0
2017-03-20,0
2017-03-21,0
2017-03-22,0
2017-03-23,0
2017-03-24,0
2017-03-27,0
2017-03-28,0
2017-03-29,0
2017-03-30,0
2017-03-31,0
2017-04-03,0
2017-04-05,0
2017-04-06,0
2017-04-07,0
2017-04-10,0
2017-04-11,0
2017-04-12,0
2017-04-13,0
2017-04-17,0
2017-04-18,0
2017-04-19,0
2017-04-20,0
2017-04-21,0
2017-04-24,0
2017-04-25,0
2017-04-26,0
2017-04-27,0
2017-04-28,0
2017-05-02,0
2017-05-03,0
2017-05-04,0
2017-05-05,0
2017-05-08,0
2017-05-09,0
2017-05-10,0
2017-05-11,0
2017-05-12,0
2017-05-15,0
2017-05-16,0
2017-05-17,0
2017-05-18,0
2017-05-19,0
2017-05-22,0
2017-05-23,0
2017-05-24,0
2017-05-25,0
2017-05-26,0
2017-05-29,0
2017-05-30,0
2017-05-31,0
2017-06-01,0
2017-06-02,0
2017-06-05,0
2017-06-06,0
2017-06-07,0
2017-06-08,0
2017-06-09,0
2017-06-12,0
2017-06-13,0
2017-06-14,0
2017-06-15,0
2017-06-16,0
2017-06-19,0
2017-06-20,0
2017-06-21,0
2017-06-22,0
2017-06-23,0
2017-06-27,0
2017-06-28,0
2017-06-29,0
2017-06-30,0
2017-07-03,0
2017-07-04,0
2017-07-05,0
2017-07-06,0
2017-07-07,0
2017-07-10,0
2017-07-11,0
2017-07-12,0
2017-07-13,0
2017-07-14,0
2017-07-17,0
2017-07-18,0
2017-07-19,0
2017-07-20,0
2017-07-21,0
2017-07-24,0
2017-07-25,-1848.64087000000000000000000
2017-07-26,1003.01000000000000000000001
2017-07-27,-816.92000000000000000000000
2017-07-28,512.44000000000000000000000
2017-07-31,-496.31000000000000000000000
2017-08-01,1045.83000000000000000000000
2017-08-02,179.47000000000000000000000
2017-08-03,-2300.25000000000000000000001
2017-08-04,-534.18000000000000000000000
2017-08-07,2159.39000000000000000000001
2017-08-08,-2080.04000000000000000000000
2017-08-09,-3791.73000000000000000000000
2017-08-10,-3164.83252000000000000000000
2017-08-11,-2271.96400000000000000000000
2017-08-14,-358.20000000000000000000000
2017-08-16,313.68559999999999999999999
2017-08-17,250.57000000000000000000000
2017-08-18,-901.03000000000000000000000
2017-08-21,-2354.55999999999999999999999
2017-08-22,-590.36000000000000000000001
2017-08-23,1392.24000000000000000000001
2017-08-24,-322.73000000000000000000000
2017-08-28,3746.28000000000000000000000
2017-08-29,-998.45000000000000000000000
2017-08-30,4149.61000000000000000000000
2017-08-31,1813.19000000000000000000000
2017-09-01,1644.51999999999999999999999
2017-09-04,-2006.28999999999999999999999
2017-09-05,1040.65000000000000000000000
2017-09-06,320.20000000000000000000000
2017-09-07,473.67000000000000000000000
2017-09-08,100.58000000000000000000000
2017-09-11,1801.32000000000000000000000
2017-09-12,2738.74909999999999999999999
2017-09-13,-1215.55000000000000000000000
2017-09-14,925.20000000000000000000000
2017-09-15,-104.35000000000000000000000
2017-09-18,302.45000000000000000000000
2017-09-19,-123.25000000000000000000000
2017-09-20,-754.60000000000000000000000
2017-09-21,-743.90000000000000000000000
2017-09-22,-4341.05000000000000000000000
2017-09-25,-2280.00000000000000000000000
2017-09-26,2085.39540000000000000000000
2017-09-27,-1116.52000000000000000000000
2017-09-28,1872.64000000000000000000000
2017-09-29,2271.73000000000000000000000
2017-10-03,1567.38000000000000000000000
2017-10-04,682.67250000000000000000000
2017-10-05,484.90000000000000000000000
2017-10-06,2274.41000000000000000000000
2017-10-09,1138.2300000000000000000000
2017-10-10,3760.2416000000000000000000
2017-10-11,274.5200000000000000000000
2017-10-12,2262.1900000000000000000000
2017-10-13,1093.0100000000000000000000
2017-10-16,-306.8700000000000000000000
2017-10-17,137.7934696579808757957679
2017-10-18,1269.0390522630246276566732
2017-10-23,-925.0519847822253564052359
2017-10-24,514.6755163791605957493229
2017-10-25,-2506.9735614261292792594431
2017-10-26,-213.5057884116057154408467
2017-10-27,1654.3126817420920638458687
2017-10-30,-1888.9383340478214654272105
2017-10-31,-1583.4126944235709335081722
2017-11-01,-151.6042371306595319112462
2017-11-02,-16.4037696925650345844776
2017-11-03,-254.7053888471418670163444
2017-11-06,-337.4434721178546675408609
2017-11-07,-784.6354069342438430858317
2017-11-08,-782.5858223484210398919799
2017-11-09,31.4421249957229548005179
2017-11-10,1824.3020569427847978707655
2017-11-13,678.4027113919785957337387
2017-11-14,-1226.4249171221185771263125
2017-11-15,-2551.2744666524317420251105
2017-11-16,1794.1412810076881728678434
2017-11-17,924.4043008966688962777355
2017-11-20,343.9026987104997260714354
2017-11-21,-1688.7515469513126170416687
2017-11-22,411.4980111101533590589871
2017-11-23,-139.1248406746303430975199
2017-11-24,-441.0260900939373670202404
2017-11-27,-1131.8090097523517180790136
2017-11-28,-257.5850929928290132403036
2017-11-29,-667.1000000000000000000000
2017-11-30,-2345.48000000000000000000000
2017-12-01,-2684.13000000000000000000000
2017-12-04,2297.70000000000000000000000
2017-12-05,1678.27000000000000000000000
2017-12-06,-335.6900000000000000000000
2017-12-07,1461.2600000000000000000000
2017-12-08,286.6300000000000000000000
2017-12-11,195.0800000000000000000000
2017-12-12,-1178.8063500000000000000000
2017-12-13,-923.7100000000000000000000
2017-12-14,49.4500000000000000000000
2017-12-15,2657.8600000000000000000000
2017-12-18,870.7100000000000000000000
2017-12-19,1306.8000000000000000000000
2017-12-20,0.2000000000000000000000
2017-12-21,3806.1800000000000000000000
2017-12-22,1394.1700000000000000000000
2017-12-26,-1021.2200000000000000000000
2017-12-27,-597.1200000000000000000000
2017-12-28,404.9700000000000000000000
2017-12-29,1080.1500000000000000000000
2018-01-01,-1399.7800000000000000000000
2018-01-02,-2460.7661100000000000000000
2018-01-03,1242.9900000000000000000000
2018-01-04,1657.4200000000000000000000
2018-01-05,1781.2400000000000000000000
2018-01-08,257.8000000000000000000000
2018-01-09,286.9940100000000000000000
2018-01-10,330.8500000000000000000000
2018-01-11,672.3500000000000000000000
2018-01-12,117.6500000000000000000000
2018-01-15,234.5500000000000000000000
2018-01-16,-1641.5000000000000000000000
2018-01-17,1794.0500000000000000000000
2018-01-18,-1429.5000000000000000000000
2018-01-19,1151.5000000000000000000000
2018-01-22,523.3000000000000000000000
2018-01-23,-1275.8424000000000000000000
2018-01-24,-2497.7500000000000000000000
2018-01-25,-1404.1600000000000000000000
2018-01-29,-915.4380000000000000000000
2018-01-30,-1241.0582500000000000000000
2018-01-31,-816.7000000000000000000000
2018-02-01,-1455.6500000000000000000000
2018-02-02,-4628.95000000000000000000000
2018-02-05,-152.10000000000000000000000
2018-02-06,-2596.35000000000000000000000
2018-02-07,747.83780000000000000000000
2018-02-08,2183.70000000000000000000000
2018-02-09,1246.25000000000000000000000
2018-02-12,1564.0500000000000000000000
2018-02-14,-258.5223000000000000000000
2018-02-15,-957.7000000000000000000000
2018-02-16,-2693.05000000000000000000000
2018-02-19,-2065.30000000000000000000000
2018-02-20,680.20000000000000000000000
2018-02-21,-25.55000000000000000000000
2018-02-22,865.42850000000000000000000
2018-02-23,1692.80000000000000000000000
2018-02-26,-164.70000000000000000000000
2018-02-27,-1439.09000000000000000000000
2018-02-28,-1331.05000000000000000000000
2018-03-01,-353.15000000000000000000000
2018-03-05,-1587.75000000000000000000000
2018-03-06,-1401.25000000000000000000000
2018-03-07,-2937.23000000000000000000000
2018-03-08,-125.55000000000000000000000
2018-03-09,637.10000000000000000000000
2018-03-12,964.70000000000000000000000
2018-03-13,76.23710000000000000000000
2018-03-14,-402.80000000000000000000000
2018-03-15,8.15000000000000000000000
2018-03-16,554.05000000000000000000000
2018-03-19,-1773.10000000000000000000000
2018-03-20,-1116.46875000000000000000000
2018-03-21,0E-23
2018-03-22,0E-23
2018-03-23,0E-23
2018-03-26,0E-23
2018-03-27,0E-23
2018-03-28,0E-23
2018-04-02,0E-23
2018-04-03,563.65800000000000000000000
2018-04-04,-2916.86000000000000000000000
2018-04-05,550.63203000000000000000000
2018-04-06,0E-23
2018-04-09,0E-23
2018-04-10,-674.18932000000000000000000
2018-04-11,390.09000000000000000000000
2018-04-12,742.35000000000000000000000
2018-04-13,986.52000000000000000000000
2018-04-16,-885.73000000000000000000000
2018-04-17,236.92000000000000000000000
2018-04-18,-556.39000000000000000000000
2018-04-19,689.09000000000000000000000
2018-04-20,1188.98000000000000000000000
2018-04-23,3522.68000000000000000000000
2018-04-24,-1203.41750000000000000000000
