date,pnl
2016-10-03,0
2016-10-04,0
2016-10-05,0
2016-10-06,0
2016-10-07,0
2016-10-10,0
2016-10-13,0
2016-10-14,0
2016-10-17,0
2016-10-18,0
2016-10-19,0
2016-10-20,0
2016-10-21,0
2016-10-24,0
2016-10-25,0
2016-10-26,0
2016-10-27,0
2016-10-28,0
2016-11-01,0
2016-11-02,0
2016-11-03,0
2016-11-04,0
2016-11-07,0
2016-11-08,0
2016-11-09,0
2016-11-10,0
2016-11-11,0
2016-11-15,0
2016-11-16,0
2016-11-17,0
2016-11-18,0
2016-11-21,0
2016-11-22,0
2016-11-23,0
2016-11-24,0
2016-11-25,0
2016-11-28,0
2016-11-29,0
2016-11-30,0
2016-12-01,0
2016-12-02,0
2016-12-05,0
2016-12-06,0
2016-12-07,0
2016-12-08,0
2016-12-09,0
2016-12-12,0
2016-12-13,0
2016-12-14,0
2016-12-15,0
2016-12-16,0
2016-12-19,0
2016-12-20,0
2016-12-21,0
2016-12-22,0
2016-12-23,0
2016-12-26,0
2016-12-27,0
2016-12-28,0
2016-12-29,0
2016-12-30,0
2017-01-02,0
2017-01-03,0
2017-01-04,0
2017-01-05,0
2017-01-06,0
2017-01-09,0
2017-01-10,0
2017-01-11,0
2017-01-12,0
2017-01-13,0
2017-01-16,0
2017-01-17,0
2017-01-18,0
2017-01-19,0
2017-01-20,0
2017-01-23,0
2017-01-24,0
2017-01-25,0
2017-01-27,0
2017-01-30,0
2017-01-31,0
2017-02-01,0
2017-02-02,0
2017-02-03,0
2017-02-06,0
2017-02-07,0
2017-02-08,0
2017-02-09,0
2017-02-10,0
2017-02-13,0
2017-02-14,0
2017-02-15,0
2017-02-16,0
2017-02-17,0
2017-02-20,0
2017-02-21,0
2017-02-22,0
2017-02-23,0
2017-02-27,0
2017-02-28,0
2017-03-01,0
2017-03-02,0
2017-03-03,0
2017-03-06,0
2017-03-07,0
2017-03-08,0
2017-03-09,0
2017-03-10,0
2017-03-14,0
2017-03-15,0
2017-03-16,0
2017-03-17,0
2017-03-20,0
2017-03-21,0
2017-03-22,0
2017-03-23,0
2017-03-24,0
2017-03-27,0
2017-03-28,0
2017-03-29,0
2017-03-30,0
2017-03-31,0
2017-04-03,0
2017-04-05,0
2017-04-06,0
2017-04-07,0
2017-04-10,0
2017-04-11,0
2017-04-12,0
2017-04-13,0
2017-04-17,0
2017-04-18,0
2017-04-19,0
2017-04-20,0
2017-04-21,0
2017-04-24,0
2017-04-25,0
2017-04-26,0
2017-04-27,0
2017-04-28,0
2017-05-02,0
2017-05-03,0
2017-05-04,0
2017-05-05,0
2017-05-08,0
2017-05-09,0
2017-05-10,0
2017-05-11,0
2017-05-12,0
2017-05-15,0
2017-05-16,0
2017-05-17,0
2017-05-18,0
2017-05-19,0
2017-05-22,0
2017-05-23,0
2017-05-24,0
2017-05-25,0
2017-05-26,0
2017-05-29,0
2017-05-30,0
2017-05-31,0
2017-06-01,0
2017-06-02,0
2017-06-05,0
2017-06-06,0
2017-06-07,0
2017-06-08,0
2017-06-09,0
2017-06-12,0
2017-06-13,0
2017-06-14,0
2017-06-15,0
2017-06-16,0
2017-06-19,0
2017-06-20,0
2017-06-21,0
2017-06-22,0
2017-06-23,0
2017-06-27,0
2017-06-28,0
2017-06-29,0
2017-06-30,0
2017-07-03,0
2017-07-04,0
2017-07-05,0
2017-07-06,0
2017-07-07,0
2017-07-10,0
2017-07-11,0
2017-07-12,0
2017-07-13,0
2017-07-14,0
2017-07-17,0
2017-07-18,0
2017-07-19,0
2017-07-20,0
2017-07-21,0
2017-07-24,0
2017-07-25,0
2017-07-26,0
2017-07-27,0
2017-07-28,0
2017-07-31,0
2017-08-01,0
2017-08-02,0
2017-08-03,0
2017-08-04,0
2017-08-07,0
2017-08-08,0
2017-08-09,0
2017-08-10,0
2017-08-11,0
2017-08-14,0
2017-08-16,0
2017-08-17,0
2017-08-18,0
2017-08-21,0
2017-08-22,0
2017-08-23,0
2017-08-24,0
2017-08-28,0
2017-08-29,0
2017-08-30,0
2017-08-31,0
2017-09-01,0
2017-09-04,0
2017-09-05,0
2017-09-06,0
2017-09-07,0
2017-09-08,0
2017-09-11,0
2017-09-12,0
2017-09-13,0
2017-09-14,0
2017-09-15,0
2017-09-18,0
2017-09-19,0
2017-09-20,0
2017-09-21,0
2017-09-22,0
2017-09-25,0
2017-09-26,0
2017-09-27,0
2017-09-28,0
2017-09-29,0
2017-10-03,0
2017-10-04,0
2017-10-05,0
2017-10-06,0
2017-10-09,0
2017-10-10,0
2017-10-11,0
2017-10-12,0
2017-10-13,0
2017-10-16,0
2017-10-17,0
2017-10-18,0
2017-10-23,0
2017-10-24,0
2017-10-25,0
2017-10-26,0
2017-10-27,0
2017-10-30,0
2017-10-31,0
2017-11-01,0
2017-11-02,0
2017-11-03,0
2017-11-06,0
2017-11-07,0
2017-11-08,0
2017-11-09,0
2017-11-10,0
2017-11-13,0
2017-11-14,-1072.03615000000000000000000
2017-11-15,-1899.65000000000000000000000
2017-11-16,445.78590000000000000000000
2017-11-17,705.55000000000000000000000
2017-11-20,-90.65000000000000000000000
2017-11-21,-3554.28870000000000000000000
2017-11-22,600.69999999999999999999999
2017-11-23,-218.45000000000000000000000
2017-11-24,-925.89999999999999999999999
2017-11-27,-395.70000000000000000000001
2017-11-28,-634.40000000000000000000000
2017-11-29,696.95080000000000000000001
2017-11-30,82.55000000000000000000000
2017-12-01,-942.20000000000000000000000
2017-12-04,-1687.38380000000000000000000
2017-12-05,233.29585000000000000000000
2017-12-06,-97.00000000000000000000001
2017-12-07,1535.70000000000000000000000
2017-12-08,772.30000000000000000000001
2017-12-11,456.60000000000000000000000
2017-12-12,-1171.40000000000000000000001
2017-12-13,-585.94999999999999999999999
2017-12-14,-1072.35000000000000000000001
2017-12-15,3066.70000000000000000000000
2017-12-18,1497.55000000000000000000001
2017-12-19,1310.91600000000000000000000
2017-12-20,1269.79000000000000000000000
2017-12-21,3693.30000000000000000000000
2017-12-22,1552.0400000000000000000000
2017-12-26,26.3400000000000000000000
2017-12-27,380.5100000000000000000000
2017-12-28,937.2600000000000000000000
2017-12-29,990.7600000000000000000000
2018-01-01,-586.3400000000000000000000
2018-01-02,-2416.9000000000000000000000
2018-01-03,5522.6300000000000000000000
2018-01-04,5858.0300000000000000000000
2018-01-05,555.6600000000000000000000
2018-01-08,3891.4300000000000000000000
2018-01-09,-1257.8700000000000000000000
2018-01-10,3281.6800000000000000000000
2018-01-11,2110.7300000000000000000000
2018-01-12,-443.1800000000000000000000
2018-01-15,641.3700000000000000000000
2018-01-16,-1160.3308200000000000000000
2018-01-17,1159.7000000000000000000000
2018-01-18,-1783.3500000000000000000000
2018-01-19,304.0000000000000000000000
2018-01-22,546.5500000000000000000000
2018-01-23,3771.5000000000000000000000
2018-01-24,-3778.9500000000000000000000
2018-01-25,-18.2000000000000000000000
2018-01-29,-2522.6000000000000000000000
2018-01-30,-715.2000000000000000000000
2018-01-31,-997.2500000000000000000000
2018-02-01,-129.4925000000000000000000
2018-02-02,-4864.7000000000000000000000
2018-02-05,1654.8000000000000000000000
2018-02-06,-861.4450000000000000000000
2018-02-07,270.8500000000000000000000
2018-02-08,3849.7500000000000000000000
2018-02-09,2127.2500000000000000000000
2018-02-12,1723.1000000000000000000000
2018-02-14,-237.6000000000000000000000
2018-02-15,-1191.0000000000000000000000
2018-02-16,-3848.2500000000000000000000
2018-02-19,-1528.2500000000000000000000
2018-02-20,1888.0000000000000000000000
2018-02-21,-217.5000000000000000000000
2018-02-22,1006.3500000000000000000000
2018-02-23,2616.7000000000000000000000
2018-02-26,527.5000000000000000000000
2018-02-27,-1193.5500000000000000000000
2018-02-28,-2119.3000000000000000000000
2018-03-01,-1044.2000000000000000000000
2018-03-05,-2279.9500000000000000000000
2018-03-06,-2026.1500000000000000000000
2018-03-07,-2271.3000000000000000000000
2018-03-08,129.8500000000000000000000
2018-03-09,-1232.3000000000000000000000
2018-03-12,2295.6000000000000000000000
2018-03-13,840.7500000000000000000000
2018-03-14,616.8500000000000000000000
2018-03-15,340.7000000000000000000000
2018-03-16,736.8000000000000000000000
2018-03-19,-2058.3000000000000000000000
2018-03-20,-1269.6507000000000000000000
2018-03-21,0E-22
2018-03-22,0E-22
2018-03-23,0E-22
2018-03-26,0E-22
2018-03-27,0E-22
2018-03-28,0E-22
2018-04-02,0E-22
2018-04-03,1832.1655000000000000000000
2018-04-04,-5763.4500000000000000000000
2018-04-05,1052.5938000000000000000000
2018-04-06,0E-22
2018-04-09,0E-22
2018-04-10,182.6677100000000000000000
2018-04-11,-561.2700000000000000000000
2018-04-12,632.2000000000000000000000
2018-04-13,-67.4600000000000000000000
2018-04-16,-258.4100000000000000000000
2018-04-17,545.7900000000000000000000
2018-04-18,-569.6800000000000000000000
2018-04-19,378.5800000000000000000000
2018-04-20,2236.9600000000000000000000
2018-04-23,4740.0600000000000000000000
2018-04-24,-1883.2000000000000000000000
2018-04-25,8082.5158000000000000000000
2018-04-26,893.4800000000000000000000
2018-04-27,-2357.3700000000000000000000
2018-04-30,569.0600000000000000000000
2018-05-02,-4459.1571500000000000000000
2018-05-03,-2650.0900000000000000000000
2018-05-04,-1576.1300000000000000000000
2018-05-07,622.1800000000000000000000
2018-05-08,1315.2600000000000000000000
2018-05-09,608.4000000000000000000000
2018-05-10,896.9100000000000000000000
2018-05-11,1011.6600000000000000000000
2018-05-14,-315.3900000000000000000000
2018-05-15,-4429.5900000000000000000000
2018-05-16,178.0260000000000000000000
2018-05-17,-1414.7600000000000000000000
2018-05-18,-1628.5400000000000000000000
2018-05-21,364.7100000000000000000000
2018-05-22,-939.5888000000000000000000
2018-05-23,2402.7700000000000000000000
2018-05-24,3855.6900000000000000000000
2018-05-25,2689.1200000000000000000000
2018-05-28,-997.8100000000000000000000
2018-05-29,1603.2600000000000000000000
2018-05-30,-836.3100000000000000000000
2018-05-31,2559.2700000000000000000000
2018-06-01,-2088.5800000000000000000000
2018-06-04,-1598.8100000000000000000000
2018-06-05,-5007.7400000000000000000000
2018-06-06,2357.9900000000000000000000
2018-06-07,3707.1600000000000000000000
2018-06-08,-671.0600000000000000000000
2018-06-11,1789.8700000000000000000000
2018-06-12,2025.8500000000000000000000
2018-06-13,-1030.6500000000000000000000
2018-06-14,1177.4100000000000000000000
2018-06-15,2011.7000000000000000000000
2018-06-18,-908.3200000000000000000000
2018-06-19,-1101.5240000000000000000000
