date,pnl
2016-10-03,0
2016-10-04,0
2016-10-05,0
2016-10-06,0
2016-10-07,0
2016-10-10,0
2016-10-13,0
2016-10-14,0
2016-10-17,0
2016-10-18,0
2016-10-19,0
2016-10-20,0
2016-10-21,0
2016-10-24,0
2016-10-25,0
2016-10-26,0
2016-10-27,0
2016-10-28,0
2016-11-01,0
2016-11-02,0
2016-11-03,0
2016-11-04,0
2016-11-07,0
2016-11-08,0
2016-11-09,0
2016-11-10,0
2016-11-11,0
2016-11-15,0
2016-11-16,0
2016-11-17,0
2016-11-18,0
2016-11-21,0
2016-11-22,0
2016-11-23,0
2016-11-24,0
2016-11-25,0
2016-11-28,0
2016-11-29,0
2016-11-30,0
2016-12-01,0
2016-12-02,0
2016-12-05,0
2016-12-06,0
2016-12-07,0
2016-12-08,0
2016-12-09,0
2016-12-12,0
2016-12-13,0
2016-12-14,0
2016-12-15,0
2016-12-16,0
2016-12-19,0
2016-12-20,0
2016-12-21,0
2016-12-22,0
2016-12-23,0
2016-12-26,0
2016-12-27,0
2016-12-28,0
2016-12-29,0
2016-12-30,0
2017-01-02,0
2017-01-03,0
2017-01-04,0
2017-01-05,0
2017-01-06,0
2017-01-09,0
2017-01-10,0
2017-01-11,0
2017-01-12,0
2017-01-13,0
2017-01-16,0
2017-01-17,0
2017-01-18,0
2017-01-19,0
2017-01-20,0
2017-01-23,0
2017-01-24,0
2017-01-25,0
2017-01-27,0
2017-01-30,0
2017-01-31,0
2017-02-01,0
2017-02-02,0
2017-02-03,0
2017-02-06,0
2017-02-07,0
2017-02-08,0
2017-02-09,0
2017-02-10,0
2017-02-13,0
2017-02-14,0
2017-02-15,0
2017-02-16,0
2017-02-17,0
2017-02-20,0
2017-02-21,0
2017-02-22,0
2017-02-23,0
2017-02-27,0
2017-02-28,0
2017-03-01,0
2017-03-02,0
2017-03-03,0
2017-03-06,0
2017-03-07,0
2017-03-08,0
2017-03-09,0
2017-03-10,0
2017-03-14,0
2017-03-15,0
2017-03-16,0
2017-03-17,0
2017-03-20,0
2017-03-21,0
2017-03-22,0
2017-03-23,0
2017-03-24,0
2017-03-27,0
2017-03-28,0
2017-03-29,0
2017-03-30,0
2017-03-31,0
2017-04-03,0
2017-04-05,0
2017-04-06,0
2017-04-07,0
2017-04-10,0
2017-04-11,0
2017-04-12,0
2017-04-13,0
2017-04-17,0
2017-04-18,0
2017-04-19,0
2017-04-20,0
2017-04-21,0
2017-04-24,0
2017-04-25,0
2017-04-26,0
2017-04-27,0
2017-04-28,0
2017-05-02,0
2017-05-03,0
2017-05-04,0
2017-05-05,0
2017-05-08,0
2017-05-09,0
2017-05-10,0
2017-05-11,0
2017-05-12,0
2017-05-15,0
2017-05-16,0
2017-05-17,0
2017-05-18,0
2017-05-19,0
2017-05-22,0
2017-05-23,0
2017-05-24,0
2017-05-25,0
2017-05-26,0
2017-05-29,0
2017-05-30,0
2017-05-31,0
2017-06-01,0
2017-06-02,0
2017-06-05,0
2017-06-06,0
2017-06-07,0
2017-06-08,0
2017-06-09,0
2017-06-12,0
2017-06-13,0
2017-06-14,0
2017-06-15,0
2017-06-16,0
2017-06-19,0
2017-06-20,0
2017-06-21,0
2017-06-22,0
2017-06-23,0
2017-06-27,0
2017-06-28,0
2017-06-29,0
2017-06-30,0
2017-07-03,0
2017-07-04,0
2017-07-05,0
2017-07-06,0
2017-07-07,0
2017-07-10,0
2017-07-11,0
2017-07-12,0
2017-07-13,0
2017-07-14,0
2017-07-17,0
2017-07-18,0
2017-07-19,0
2017-07-20,0
2017-07-21,0
2017-07-24,0
2017-07-25,0
2017-07-26,0
2017-07-27,0
2017-07-28,0
2017-07-31,0
2017-08-01,0
2017-08-02,0
2017-08-03,0
2017-08-04,0
2017-08-07,0
2017-08-08,-380.195000000
2017-08-09,-703.800000000
2017-08-10,-527.850000000
2017-08-11,-382.950000000
2017-08-14,403.650000000
2017-08-16,588.722000000
2017-08-17,237.150000000
2017-08-18,-126.900000000
2017-08-21,-415.650000000
2017-08-22,-1189.050000000
2017-08-23,1160.550000000
2017-08-24,-85.200000000
2017-08-28,-1043.400000000
2017-08-29,-130.865500000
2017-08-30,156.600000000
2017-08-31,216.000000000
2017-09-01,707.400000000
2017-09-04,-388.800000000
2017-09-05,356.400000000
2017-09-06,129.600000000
2017-09-07,27.000000000
2017-09-08,-102.600000000
2017-09-11,91.800000000
2017-09-12,410.400000000
2017-09-13,-399.600000000
2017-09-14,86.400000000
2017-09-15,-216.000000000
2017-09-18,248.400000000
2017-09-19,-340.200000000
2017-09-20,-102.600000000
2017-09-21,-507.600000000
2017-09-22,-1247.400000000
2017-09-25,-745.200000000
2017-09-26,280.800000000
2017-09-27,-999.000000000
2017-09-28,-62.990800000
2017-09-29,0E-9
2017-10-03,0E-9
2017-10-04,0E-9
2017-10-05,0E-9
2017-10-06,0E-9
2017-10-09,0E-9
2017-10-10,0E-9
2017-10-11,0E-9
2017-10-12,0E-9
2017-10-13,0E-9
2017-10-16,0E-9
2017-10-17,0E-9
2017-10-18,0E-9
2017-10-23,0E-9
2017-10-24,0E-9
2017-10-25,0E-9
2017-10-26,0E-9
2017-10-27,0E-9
2017-10-30,32.330000000
2017-10-31,-146.100000000
2017-11-01,26.400000000
2017-11-02,393.031690000
2017-11-03,-131.560000000
2017-11-06,76.640000000
2017-11-07,-1467.412000000
2017-11-08,-957.940000000
2017-11-09,2138.529800000
2017-11-10,-221.160000000
2017-11-13,-971.610000000
2017-11-14,712.710000000
2017-11-15,-750.560000000
2017-11-16,337.333610000
2017-11-17,-55.710000000
2017-11-20,897.680000000
2017-11-21,-128.970000000
2017-11-22,-224.650000000
2017-11-23,-458.035000000
2017-11-24,950.800000000
2017-11-27,460.100000000
2017-11-28,745.050000000
2017-11-29,618.630000000
2017-11-30,-0.440000000
2017-12-01,1036.380000000
2017-12-04,746.880000000
2017-12-05,220.660000000
2017-12-06,-1985.850000000
2017-12-07,450.520000000
2017-12-08,239.030000000
2017-12-11,29.930000000
2017-12-12,-478.740000000
2017-12-13,-198.720000000
2017-12-14,62.560000000
2017-12-15,245.180000000
2017-12-18,559.050000000
2017-12-19,1338.280000000
2017-12-20,227.730000000
2017-12-21,31.080000000
2017-12-22,-528.630000000
2017-12-26,-194.830000000
2017-12-27,168.970000000
2017-12-28,697.450000000
2017-12-29,430.390000000
2018-01-01,808.193000000
2018-01-02,498.900000000
2018-01-03,943.800000000
2018-01-04,108.104400000
2018-01-05,-202.650000000
2018-01-08,-100.688000000
2018-01-09,0E-9
2018-01-10,0E-9
2018-01-11,0E-9
2018-01-12,0E-9
2018-01-15,0E-9
2018-01-16,0E-9
2018-01-17,0E-9
2018-01-18,0E-9
2018-01-19,0E-9
2018-01-22,0E-9
2018-01-23,0E-9
2018-01-24,0E-9
2018-01-25,1455.280000000
2018-01-29,-181.600000000
2018-01-30,-840.000000000
2018-01-31,-1070.400000000
2018-02-01,1638.400000000
2018-02-02,-175.200000000
2018-02-05,-41.600000000
2018-02-06,-938.400000000
2018-02-07,1356.000000000
2018-02-08,-28.800000000
2018-02-09,-161.600000000
2018-02-12,2607.324400000
2018-02-14,-920.852000000
2018-02-15,-1237.300000000
2018-02-16,-2596.300000000
2018-02-19,-2479.700000000
2018-02-20,-1630.633000000
2018-02-21,1160.400000000
2018-02-22,-401.996000000
2018-02-23,724.800000000
2018-02-26,175.200000000
2018-02-27,-356.000000000
2018-02-28,56.000000000
2018-03-01,287.200000000
2018-03-05,-1168.000000000
2018-03-06,-482.400000000
2018-03-07,-151.200000000
2018-03-08,-200.800000000
2018-03-09,-480.000000000
2018-03-12,513.600000000
2018-03-13,-0.800000000
2018-03-14,-568.000000000
2018-03-15,-416.800000000
2018-03-16,-287.200000000
2018-03-19,-672.800000000
2018-03-20,-101.600000000
2018-03-21,608.000000000
2018-03-22,-213.600000000
2018-03-23,492.800000000
2018-03-26,393.600000000
2018-03-27,31.200000000
2018-03-28,-113.846000000
2018-04-02,0E-9
2018-04-03,0E-9
2018-04-04,0E-9
2018-04-05,0E-9
2018-04-06,0E-9
2018-04-09,0E-9
2018-04-10,0E-9
2018-04-11,0E-9
2018-04-12,0E-9
2018-04-13,0E-9
2018-04-16,0E-9
2018-04-17,0E-9
2018-04-18,0E-9
2018-04-19,0E-9
2018-04-20,0E-9
2018-04-23,0E-9
2018-04-24,0E-9
2018-04-25,0E-9
2018-04-26,-107.225600000
2018-04-27,7.200000000
2018-04-30,64.497000000
2018-05-02,-560.250000000
2018-05-03,454.150000000
2018-05-04,-552.100000000
2018-05-07,669.400000000
2018-05-08,-43.950000000
2018-05-09,479.020000000
2018-05-10,-92.650000000
2018-05-11,1123.950000000
2018-05-14,-130.185000000
2018-05-15,-276.600000000
2018-05-16,-100.150000000
2018-05-17,-544.100000000
2018-05-18,-1148.750000000
2018-05-21,83.700000000
2018-05-22,217.800000000
2018-05-23,-30.800000000
2018-05-24,1457.500000000
2018-05-25,-127.998100000
2018-05-28,-143.150000000
2018-05-29,-46.250000000
2018-05-30,-680.400000000
2018-05-31,25.150000000
2018-06-01,-929.250000000
2018-06-04,-900.200000000
2018-06-05,-1389.900000000
2018-06-06,29.500000000
2018-06-07,2103.900000000
2018-06-08,-797.500000000
2018-06-11,743.050000000
2018-06-12,866.300000000
2018-06-13,-306.250000000
2018-06-14,-165.650000000
2018-06-15,-223.150000000
2018-06-18,228.600000000
2018-06-19,19.200000000
2018-06-20,-387.050000000
2018-06-21,188.300000000
2018-06-22,886.400000000
2018-06-25,-1511.900000000
2018-06-26,-128.800000000
2018-06-27,-423.660000000
2018-06-28,-636.500000000
2018-06-29,226.816000000
2018-07-02,190.300000000
2018-07-03,-15.250000000
2018-07-04,-67.050000000
2018-07-05,491.050000000
2018-07-06,243.500000000
2018-07-09,775.150000000
2018-07-10,301.668000000
2018-07-11,782.100000000
2018-07-12,644.600000000
2018-07-13,-41.800000000
2018-07-16,-123.750000000
2018-07-17,175.450000000
2018-07-18,96.250000000
2018-07-19,-1511.950000000
2018-07-20,321.200000000
2018-07-23,597.064000000
2018-07-24,438.234000000
2018-07-25,518.980000000
2018-07-26,671.950000000
2018-07-27,-76.790250000
2018-07-30,549.250000000
2018-07-31,-574.400000000
2018-08-01,633.450000000
2018-08-02,-2076.200000000
2018-08-03,1305.950000000
2018-08-06,469.450000000
2018-08-07,-553.550000000
2018-08-08,-64.750000000
2018-08-09,1453.750000000
2018-08-10,-961.900000000
