date,pnl
2016-10-03,0
2016-10-04,0
2016-10-05,0
2016-10-06,0
2016-10-07,0
2016-10-10,0
2016-10-13,0
2016-10-14,0
2016-10-17,0
2016-10-18,0
2016-10-19,0
2016-10-20,0
2016-10-21,0
2016-10-24,0
2016-10-25,0
2016-10-26,0
2016-10-27,0
2016-10-28,0
2016-11-01,0
2016-11-02,0
2016-11-03,0
2016-11-04,0
2016-11-07,0
2016-11-08,0
2016-11-09,0
2016-11-10,0
2016-11-11,0
2016-11-15,0
2016-11-16,0
2016-11-17,0
2016-11-18,0
2016-11-21,0
2016-11-22,0
2016-11-23,0
2016-11-24,0
2016-11-25,0
2016-11-28,0
2016-11-29,0
2016-11-30,0
2016-12-01,0
2016-12-02,0
2016-12-05,0
2016-12-06,0
2016-12-07,0
2016-12-08,0
2016-12-09,0
2016-12-12,0
2016-12-13,0
2016-12-14,0
2016-12-15,0
2016-12-16,0
2016-12-19,0
2016-12-20,0
2016-12-21,0
2016-12-22,0
2016-12-23,0
2016-12-26,0
2016-12-27,0
2016-12-28,0
2016-12-29,0
2016-12-30,0
2017-01-02,0
2017-01-03,0
2017-01-04,0
2017-01-05,0
2017-01-06,0
2017-01-09,0
2017-01-10,0
2017-01-11,0
2017-01-12,0
2017-01-13,0
2017-01-16,0
2017-01-17,0
2017-01-18,0
2017-01-19,0
2017-01-20,0
2017-01-23,0
2017-01-24,0
2017-01-25,0
2017-01-27,0
2017-01-30,0
2017-01-31,0
2017-02-01,0
2017-02-02,0
2017-02-03,0
2017-02-06,0
2017-02-07,0
2017-02-08,0
2017-02-09,0
2017-02-10,0
2017-02-13,0
2017-02-14,0
2017-02-15,0
2017-02-16,0
2017-02-17,0
2017-02-20,0
2017-02-21,0
2017-02-22,0
2017-02-23,0
2017-02-27,0
2017-02-28,0
2017-03-01,0
2017-03-02,0
2017-03-03,0
2017-03-06,0
2017-03-07,0
2017-03-08,0
2017-03-09,0
2017-03-10,0
2017-03-14,0
2017-03-15,0
2017-03-16,0
2017-03-17,0
2017-03-20,0
2017-03-21,0
2017-03-22,0
2017-03-23,0
2017-03-24,0
2017-03-27,0
2017-03-28,0
2017-03-29,0
2017-03-30,0
2017-03-31,0
2017-04-03,0
2017-04-05,0
2017-04-06,0
2017-04-07,0
2017-04-10,0
2017-04-11,0
2017-04-12,0
2017-04-13,0
2017-04-17,0
2017-04-18,0
2017-04-19,0
2017-04-20,0
2017-04-21,0
2017-04-24,0
2017-04-25,0
2017-04-26,0
2017-04-27,0
2017-04-28,0
2017-05-02,0
2017-05-03,0
2017-05-04,0
2017-05-05,0
2017-05-08,0
2017-05-09,0
2017-05-10,0
2017-05-11,0
2017-05-12,0
2017-05-15,0
2017-05-16,0
2017-05-17,0
2017-05-18,0
2017-05-19,0
2017-05-22,0
2017-05-23,0
2017-05-24,0
2017-05-25,0
2017-05-26,0
2017-05-29,0
2017-05-30,0
2017-05-31,0
2017-06-01,0
2017-06-02,0
2017-06-05,0
2017-06-06,0
2017-06-07,0
2017-06-08,0
2017-06-09,0
2017-06-12,0
2017-06-13,0
2017-06-14,0
2017-06-15,0
2017-06-16,0
2017-06-19,0
2017-06-20,0
2017-06-21,0
2017-06-22,0
2017-06-23,0
2017-06-27,0
2017-06-28,0
2017-06-29,0
2017-06-30,0
2017-07-03,0
2017-07-04,0
2017-07-05,0
2017-07-06,0
2017-07-07,0
2017-07-10,0
2017-07-11,0
2017-07-12,0
2017-07-13,0
2017-07-14,0
2017-07-17,0
2017-07-18,0
2017-07-19,0
2017-07-20,0
2017-07-21,0
2017-07-24,0
2017-07-25,0
2017-07-26,0
2017-07-27,0
2017-07-28,0
2017-07-31,0
2017-08-01,0
2017-08-02,0
2017-08-03,0
2017-08-04,0
2017-08-07,0
2017-08-08,-623.750000000
2017-08-09,-1183.200000000
2017-08-10,-887.400000000
2017-08-11,-398.641600000
2017-08-14,0E-9
2017-08-16,-129.107000000
2017-08-17,778.800000000
2017-08-18,-309.750000000
2017-08-21,-539.850000000
2017-08-22,-902.700000000
2017-08-23,1885.050000000
2017-08-24,177.000000000
2017-08-28,-1212.450000000
2017-08-29,265.500000000
2017-08-30,256.650000000
2017-08-31,354.000000000
2017-09-01,1159.350000000
2017-09-04,-637.200000000
2017-09-05,584.100000000
2017-09-06,212.400000000
2017-09-07,44.250000000
2017-09-08,-168.150000000
2017-09-11,150.450000000
2017-09-12,672.600000000
2017-09-13,-654.900000000
2017-09-14,141.600000000
2017-09-15,-354.000000000
2017-09-18,407.100000000
2017-09-19,-557.550000000
2017-09-20,-168.150000000
2017-09-21,-831.900000000
2017-09-22,-2044.350000000
2017-09-25,-1221.300000000
2017-09-26,-71.923600000
2017-09-27,0E-9
2017-09-28,0E-9
2017-09-29,0E-9
2017-10-03,0E-9
2017-10-04,0E-9
2017-10-05,0E-9
2017-10-06,0E-9
2017-10-09,0E-9
2017-10-10,0E-9
2017-10-11,0E-9
2017-10-12,0E-9
2017-10-13,0E-9
2017-10-16,0E-9
2017-10-17,0E-9
2017-10-18,0E-9
2017-10-23,0E-9
2017-10-24,0E-9
2017-10-25,0E-9
2017-10-26,0E-9
2017-10-27,0E-9
2017-10-30,68.228000000
2017-10-31,-248.370000000
2017-11-01,44.880000000
2017-11-02,686.352690000
2017-11-03,-220.130000000
2017-11-06,118.690000000
2017-11-07,-1387.690000000
2017-11-08,-1183.130000000
2017-11-09,1935.293100000
2017-11-10,-531.230000000
2017-11-13,-650.790000000
2017-11-14,786.080000000
2017-11-15,-480.860000000
2017-11-16,2850.240000000
2017-11-17,-601.270000000
2017-11-20,1355.930000000
2017-11-21,-1022.280000000
2017-11-22,593.920000000
2017-11-23,-439.840000000
2017-11-24,603.080000000
2017-11-27,636.340000000
2017-11-28,1778.940000000
2017-11-29,973.920000000
2017-11-30,-104.260000000
2017-12-01,2093.730000000
2017-12-04,1287.780000000
2017-12-05,878.030000000
2017-12-06,-2463.270000000
2017-12-07,-299.380000000
2017-12-08,44.980000000
2017-12-11,-295.610000000
2017-12-12,-892.050000000
2017-12-13,-190.800000000
2017-12-14,205.940000000
2017-12-15,-246.410000000
2017-12-18,623.580000000
2017-12-19,1113.020000000
2017-12-20,595.320000000
2017-12-21,241.170000000
2017-12-22,-764.640000000
2017-12-26,-214.850000000
2017-12-27,503.543000000
2017-12-28,997.250000000
2017-12-29,447.590000000
2018-01-01,1515.333000000
2018-01-02,1059.300000000
2018-01-03,1062.600000000
2018-01-04,4.950000000
2018-01-05,-318.450000000
2018-01-08,-131.254000000
2018-01-09,0E-9
2018-01-10,0E-9
2018-01-11,0E-9
2018-01-12,0E-9
2018-01-15,0E-9
2018-01-16,0E-9
2018-01-17,0E-9
2018-01-18,0E-9
2018-01-19,0E-9
2018-01-22,0E-9
2018-01-23,0E-9
2018-01-24,0E-9
2018-01-25,2564.320000000
2018-01-29,-317.800000000
2018-01-30,-1470.000000000
2018-01-31,-1873.200000000
2018-02-01,2867.200000000
2018-02-02,-306.600000000
2018-02-05,-72.800000000
2018-02-06,-1642.200000000
2018-02-07,2373.000000000
2018-02-08,-50.400000000
2018-02-09,-282.800000000
2018-02-12,4580.302350000
2018-02-14,-1580.717000000
2018-02-15,-2102.400000000
2018-02-16,-4484.250000000
2018-02-19,-2734.051500000
2018-02-20,-1671.600000000
2018-02-21,2919.000000000
2018-02-22,-315.000000000
2018-02-23,1268.400000000
2018-02-26,306.600000000
2018-02-27,-623.000000000
2018-02-28,98.000000000
2018-03-01,502.600000000
2018-03-05,-2044.000000000
2018-03-06,-844.200000000
2018-03-07,-264.600000000
2018-03-08,-351.400000000
2018-03-09,-840.000000000
2018-03-12,898.800000000
2018-03-13,-1.400000000
2018-03-14,-994.000000000
2018-03-15,-729.400000000
2018-03-16,-502.600000000
2018-03-19,-1177.400000000
2018-03-20,-115.134600000
2018-03-21,0E-9
2018-03-22,0E-9
2018-03-23,0E-9
2018-03-26,0E-9
2018-03-27,0E-9
2018-03-28,0E-9
2018-04-02,0E-9
2018-04-03,0E-9
2018-04-04,0E-9
2018-04-05,0E-9
2018-04-06,0E-9
2018-04-09,0E-9
2018-04-10,0E-9
2018-04-11,0E-9
2018-04-12,0E-9
2018-04-13,0E-9
2018-04-16,0E-9
2018-04-17,0E-9
2018-04-18,0E-9
2018-04-19,0E-9
2018-04-20,0E-9
2018-04-23,0E-9
2018-04-24,0E-9
2018-04-25,0E-9
2018-04-26,-169.152900000
2018-04-27,12.300000000
2018-04-30,120.342000000
2018-05-02,-955.750000000
2018-05-03,777.850000000
2018-05-04,-945.900000000
2018-05-07,1146.850000000
2018-05-08,-73.800000000
2018-05-09,834.310000000
2018-05-10,-158.450000000
2018-05-11,1921.600000000
2018-05-14,-428.300000000
2018-05-15,-916.450000000
2018-05-16,-403.850000000
2018-05-17,-566.650000000
2018-05-18,-1936.450000000
2018-05-21,223.913000000
2018-05-22,645.950000000
2018-05-23,-27.200000000
2018-05-24,1510.050000000
2018-05-25,39.942200000
2018-05-28,-1350.900000000
2018-05-29,1470.350000000
2018-05-30,-492.700000000
2018-05-31,-374.300000000
2018-06-01,-1616.700000000
2018-06-04,-1024.100000000
2018-06-05,-1783.100000000
2018-06-06,333.550000000
2018-06-07,2092.650000000
2018-06-08,-759.400000000
2018-06-11,1346.400000000
2018-06-12,1259.650000000
2018-06-13,-829.350000000
2018-06-14,344.150000000
2018-06-15,-70.400000000
2018-06-18,-702.700000000
2018-06-19,377.400000000
2018-06-20,-741.200000000
2018-06-21,274.100000000
2018-06-22,864.600000000
2018-06-25,-1017.990000000
2018-06-26,-570.300000000
2018-06-27,436.050000000
2018-06-28,-296.100000000
2018-06-29,534.600000000
2018-07-02,-390.600000000
2018-07-03,4.500000000
2018-07-04,-59.400000000
2018-07-05,27.900000000
2018-07-06,355.500000000
2018-07-09,295.200000000
2018-07-10,639.000000000
2018-07-11,1279.800000000
2018-07-12,1054.800000000
2018-07-13,-68.400000000
2018-07-16,-202.500000000
2018-07-17,287.100000000
2018-07-18,157.500000000
2018-07-19,-2474.100000000
2018-07-20,525.600000000
2018-07-23,1209.794000000
2018-07-24,720.026000000
2018-07-25,987.890000000
2018-07-26,1166.100000000
2018-07-27,-369.700000000
2018-07-30,-560.800000000
2018-07-31,-901.000000000
2018-08-01,541.500000000
2018-08-02,-2190.000000000
2018-08-03,1398.700000000
2018-08-06,-62.500000000
2018-08-07,-482.100000000
2018-08-08,-153.400000000
2018-08-09,1395.400000000
